scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_OptimisticInit,7,0,ucb1_q,505.48275862068965,"{'avg_cooperate': 0.10269572333793105, 'avg_defect': 2.463563149994481}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.4,): {'cooperate': 0.21066398275862072, 'defect': 1.4764098279049414}, (0.6,): {'cooperate': 0.1715179119310345, 'defect': 0.6133831740000001}, (0.2,): {'cooperate': 0.13129672200000003, 'defect': 9.917677920481257}, (0.8,): {'cooperate': 0.0, 'defect': 0.15517241379310345}}"
UCB1_OptimisticInit,7,1,ucb1_q,501.58620689655174,"{'avg_cooperate': 0.13050761569634486, 'avg_defect': 2.5637295064854815}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.6,): {'cooperate': 0.18778813448275866, 'defect': 0.6646344255517243}, (0.4,): {'cooperate': 0.18602670000000002, 'defect': 1.7951237092225347}, (0.8,): {'cooperate': 0.10732448275862072, 'defect': 0.2951379310344828}, (0.2,): {'cooperate': 0.17139876124034487, 'defect': 9.908579052825562}}"
UCB1_OptimisticInit,7,2,ucb1_q,495.62068965517244,"{'avg_cooperate': 0.08691150457468966, 'avg_defect': 2.3000047130443146}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.4,): {'cooperate': 0.11877216113793106, 'defect': 0.984528394653319}, (0.2,): {'cooperate': 0.1773088291148276, 'defect': 9.917207742982047}, (0.6,): {'cooperate': 0.09709722227586208, 'defect': 0.35318397931034484}, (0.8,): {'cooperate': 0.041379310344827586, 'defect': 0.11751724137931036}}"
UCB1_OptimisticInit,7,3,ucb1_q,504.82758620689657,"{'avg_cooperate': 0.07718899712724138, 'avg_defect': 1.9442822365033017}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.4,): {'cooperate': 0.20589588966000003, 'defect': 1.0641885123104609}, (0.2,): {'cooperate': 0.14684326551724142, 'defect': 9.923746286019695}, (0.6,): {'cooperate': 0.06663620689655173, 'defect': 0.26741379310344826}, (0.8,): {'cooperate': 0.04375862068965518, 'defect': 0.1413793103448276}, (1.0,): {'cooperate': 0.0, 'defect': 0.11379310344827587}}"
UCB1_OptimisticInit,7,4,ucb1_q,494.3103448275862,"{'avg_cooperate': 0.049943338344568974, 'avg_defect': 2.836382570707749}","{'initial': {'cooperate': 0.0, 'defect': 0.0}, (0.2,): {'cooperate': 0.12430381199896555, 'defect': 9.918625896067637}, (0.6,): {'cooperate': 0.07546954137931036, 'defect': 1.3269043867633605}, (1.0,): {'cooperate': 0.0, 'defect': 0.1}}"
UCB1_OptimisticInit,7,5,ucb1_q,496.7931034482759,"{'avg_cooperate': 0.12297037394681554, 'avg_defect': 1.9513760151237465}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.4,): {'cooperate': 0.25253209742793103, 'defect': 0.9828830342992674}, (0.8,): {'cooperate': 0.0917606379310345, 'defect': 0.27243620689655174}, (0.2,): {'cooperate': 0.249852964701238, 'defect': 9.914808452994937}, (0.6,): {'cooperate': 0.12298688844827588, 'defect': 0.4243352931034483}, (1.0,): {'cooperate': 0.0, 'defect': 0.11379310344827587}}"
UCB1_OptimisticInit,7,6,ucb1_q,492.2758620689655,"{'avg_cooperate': 0.0802285370546276, 'avg_defect': 2.4244179520631066}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.16803547029609314, 'defect': 1.1622314200840782}, (0.6,): {'cooperate': 0.09942000848275864, 'defect': 1.0508809369234764}, (0.8,): {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.2,): {'cooperate': 0.10265272373566553, 'defect': 9.908977403307977}}"
UCB1_OptimisticInit,7,7,ucb1_q,490.44827586206895,"{'avg_cooperate': 0.09963685104811323, 'avg_defect': 2.321451735223108}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.15550329019344833, 'defect': 0.7588481503066519}, (0.2,): {'cooperate': 0.13713627289780742, 'defect': 9.912354186601991}, (0.6,): {'cooperate': 0.16418484042517245, 'defect': 0.5973048667931036}, (0.8,): {'cooperate': 0.031015024137931044, 'defect': 0.33875147241379316}}"
UCB1_OptimisticInit,7,8,ucb1_q,491.62068965517244,"{'avg_cooperate': 0.08585253775742546, 'avg_defect': 1.9786722977604485}","{'initial': {'cooperate': 0.0, 'defect': 0.1}, (0.2,): {'cooperate': 0.1417345142058621, 'defect': 9.91040627065631}, (0.4,): {'cooperate': 0.1530860990535453, 'defect': 0.7867029366441709}, (0.6,): {'cooperate': 0.17891530294031777, 'defect': 1.0749245792622115}, (0.8,): {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 0.0, 'defect': 0.0}}"
UCB1_OptimisticInit,7,9,ucb1_q,494.7241379310345,"{'avg_cooperate': 0.04558798185874398, 'avg_defect': 2.90669146391839}","{'initial': {'cooperate': 0.0, 'defect': 0.1}, (0.2,): {'cooperate': 0.11501788950394141, 'defect': 9.91628454232595}, (0.6,): {'cooperate': 0.0673340379310345, 'defect': 1.610481313347609}, (1.0,): {'cooperate': 0.0, 'defect': 0.0}}"
UCB1_OptimisticInit,7,10,ucb1_q,492.2068965517241,"{'avg_cooperate': 0.0753469190710345, 'avg_defect': 2.3274326269565533}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.4,): {'cooperate': 0.15193354759758623, 'defect': 0.9431578649988581}, (0.8,): {'cooperate': 0.07713493355172416, 'defect': 0.6663967118957692}, (0.2,): {'cooperate': 0.14766611420586212, 'defect': 9.913815454439865}, (1.0,): {'cooperate': 0.0, 'defect': 0.0}}"
UCB1_OptimisticInit,7,11,ucb1_q,494.62068965517244,"{'avg_cooperate': 0.06841893605499519, 'avg_defect': 2.4302373043056393}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.6,): {'cooperate': 0.10426399655172416, 'defect': 1.138835408413953}, (0.8,): {'cooperate': 0.010344827586206896, 'defect': 0.254818275862069}, (0.4,): {'cooperate': 0.12342125172413795, 'defect': 0.7186407974355175}, (0.2,): {'cooperate': 0.10406460441290692, 'defect': 9.911305832920105}}"
UCB1_OptimisticInit,7,12,ucb1_q,493.0,"{'avg_cooperate': 0.0815179798786712, 'avg_defect': 2.8670282374790323}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.6,): {'cooperate': 0.1451147288948813, 'defect': 1.1258054976529297}, (0.2,): {'cooperate': 0.13267438372325174, 'defect': 9.916024162608027}, (1.0,): {'cooperate': 0.048282806896551726, 'defect': 0.31249018620689656}}"
UCB1_OptimisticInit,7,13,ucb1_q,493.17241379310343,"{'avg_cooperate': 0.061161750940371726, 'avg_defect': 2.370816800615226}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.09840898779310345, 'defect': 1.39196285141625}, (0.8,): {'cooperate': 0.07571011975862069, 'defect': 0.421845337}, (0.2,): {'cooperate': 0.12134481956392759, 'defect': 9.912689607763328}, (1.0,): {'cooperate': 0.0, 'defect': 0.12758620689655173}}"
UCB1_OptimisticInit,7,14,ucb1_q,491.51724137931035,"{'avg_cooperate': 0.06968199060850605, 'avg_defect': 2.700793728511832}","{'initial': {'cooperate': 0.0, 'defect': 0.0}, (0.2,): {'cooperate': 0.13051610726161036, 'defect': 9.921152392219744}, (1.0,): {'cooperate': 0.07869162413793104, 'defect': 0.3245962068965518}, (0.6,): {'cooperate': 0.06952023103448278, 'defect': 0.5574263149310346}}"
UCB1_OptimisticInit,7,15,ucb1_q,491.7931034482759,"{'avg_cooperate': 0.09299490620608838, 'avg_defect': 2.373860632362455}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.8,): {'cooperate': 0.06829171882758622, 'defect': 0.3672515655172414}, (0.6,): {'cooperate': 0.1014121749310345, 'defect': 0.5852254492851726}, (0.4,): {'cooperate': 0.16215895077000003, 'defect': 0.8641250577072402}, (0.2,): {'cooperate': 0.1331116865018212, 'defect': 9.911321778957792}}"
UCB1_OptimisticInit,7,16,ucb1_q,494.37931034482756,"{'avg_cooperate': 0.05224119565184742, 'avg_defect': 2.961831466719498}","{'initial': {'cooperate': 0.0, 'defect': 0.0}, (0.2,): {'cooperate': 0.1185807722625621, 'defect': 9.913831143184355}, (0.6,): {'cooperate': 0.08003918275862071, 'defect': 1.7199178271419109}, (1.0,): {'cooperate': 0.010344827586206896, 'defect': 0.21357689655172418}}"
UCB1_OptimisticInit,7,17,ucb1_q,491.8620689655172,"{'avg_cooperate': 0.07985144615379311, 'avg_defect': 2.2781943982440747}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.4,): {'cooperate': 0.13794981433137932, 'defect': 0.7985249219111714}, (0.2,): {'cooperate': 0.16373304747206902, 'defect': 9.915676148619548}, (1.0,): {'cooperate': 0.010344827586206896, 'defect': 0.11472413793103449}, (0.8,): {'cooperate': 0.08722954137931035, 'defect': 0.4482536793103449}}"
UCB1_OptimisticInit,7,18,ucb1_q,491.41379310344826,"{'avg_cooperate': 0.08734990298908318, 'avg_defect': 2.8441258516037573}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 0.06485127931034484, 'defect': 0.31066517241379316}, (0.2,): {'cooperate': 0.13922958235147637, 'defect': 9.91580829118524}, (0.6,): {'cooperate': 0.12462909512209772, 'defect': 1.1500299428159968}}"
UCB1_OptimisticInit,7,19,ucb1_q,496.7586206896552,"{'avg_cooperate': 0.06802671177410519, 'avg_defect': 1.831932384301518}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.2,): {'cooperate': 0.2022973947825621, 'defect': 9.922604239016005}, (0.6,): {'cooperate': 0.06137541724137932, 'defect': 0.2566617241379311}, (0.4,): {'cooperate': 0.13414263103448276, 'defect': 0.5709490323103449}, (1.0,): {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.8,): {'cooperate': 0.010344827586206896, 'defect': 0.0}}"
UCB1_OptimisticInit,7,20,ucb1_q,493.0689655172414,"{'avg_cooperate': 0.07677159093624268, 'avg_defect': 2.4099442721909075}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.8,): {'cooperate': 0.07505574827586209, 'defect': 0.6791610447472415}, (0.4,): {'cooperate': 0.15438799781396162, 'defect': 1.1904228047382572}, (0.2,): {'cooperate': 0.13134524307414833, 'defect': 9.91117199422766}, (1.0,): {'cooperate': 0.023068965517241382, 'defect': 0.1413793103448276}}"
