scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
TF2T_vs_LRAQ_Mem5,0,lra_q,392.51724137930944,"{'avg_cooperate': 1.9768295052696394, 'avg_defect': 3.0518090279779893}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.8269685979408847, 'defect': 0.0}, (1, 1, 1): {'cooperate': 10.706667393778417, 'defect': 11.604206127791672}, (0, 1, 2): {'cooperate': 0.2793103448275862, 'defect': 4.487793740795321}, (1, 0, 2): {'cooperate': 1.2712706525337787, 'defect': 0.0}, (0, 1, 1): {'cooperate': 2.097454612682459, 'defect': 6.318216659113969}, (1, 0, 1): {'cooperate': 2.416291598658865, 'defect': 6.243452969954207}, (0, 0, 2): {'cooperate': 0.49147800043327555, 'defect': 0.0}, (0, 0, 1): {'cooperate': 5.116552942370971, 'defect': 10.871309448903382}, (1, 1, 0): {'cooperate': 0.3524622640551724, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.31951016740167887, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.3176519834482756, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.4410960448567034, 'defect': 0.14853841715531335}}"
TF2T_vs_LRAQ_Mem5,1,lra_q,473.5172413793103,"{'avg_cooperate': 4.7069442998551905, 'avg_defect': 6.547159753750216}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 13.357691746767406, 'defect': 14.487956835700862}, (0, 1, 2): {'cooperate': 11.145032106615254, 'defect': 12.762861287724295}, (1, 0, 2): {'cooperate': 3.6521863488070223, 'defect': 12.20312082477982}, (0, 0, 2): {'cooperate': 2.4508168937720276, 'defect': 0.0}, (0, 0, 1): {'cooperate': 3.8762821221630865, 'defect': 5.801727932578797}, (1, 0, 1): {'cooperate': 5.689879119148318, 'defect': 9.74919407998875}, (1, 1, 1): {'cooperate': 2.020843016840762, 'defect': 9.916831492215293}, (0, 1, 1): {'cooperate': 10.902528624514689, 'defect': 13.413221674767348}, (1, 0, 0): {'cooperate': 1.8063673188506966, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.9072037943970463, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.5917418856963317, 'defect': 0.23100291724742678}}"
TF2T_vs_LRAQ_Mem5,2,lra_q,315.1724137931032,"{'avg_cooperate': 2.414830355104779, 'avg_defect': 4.0361470675680176}","{'initial': {'cooperate': 0.0, 'defect': 0.07758620689655173}, (0, 1, 2): {'cooperate': 1.6019427067344294, 'defect': 0.0}, (1, 0, 2): {'cooperate': 2.7947220031410964, 'defect': 7.703913848671368}, (1, 1, 2): {'cooperate': 1.6457318687685307, 'defect': 0.0}, (1, 1, 1): {'cooperate': 5.19059093648461, 'defect': 8.104924473118261}, (1, 1, 0): {'cooperate': 1.682754665489607, 'defect': 7.7803063038279}, (0, 1, 0): {'cooperate': 1.7396696893220123, 'defect': 0.7983308039926476}, (1, 0, 1): {'cooperate': 6.566006322004236, 'defect': 9.24713721552431}, (0, 1, 1): {'cooperate': 5.086390144456192, 'defect': 9.573037873329293}, (0, 0, 2): {'cooperate': 0.6999906993042616, 'defect': 0.3685508444516249}, (1, 0, 0): {'cooperate': 2.8876863889052, 'defect': 8.520494319895507}, (0, 0, 1): {'cooperate': 0.7454345382708918, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.7518746534810559, 'defect': 0.2956299886767625}}"
TF2T_vs_LRAQ_Mem5,3,lra_q,445.8620689655166,"{'avg_cooperate': 2.2637309739913243, 'avg_defect': 3.6592561328924442}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1, 1, 1): {'cooperate': 4.65770951962825, 'defect': 7.796377842407283}, (1, 1, 2): {'cooperate': 5.2866538110856425, 'defect': 10.423346042188717}, (0, 1, 1): {'cooperate': 6.410601228842749, 'defect': 10.982125650438775}, (1, 0, 2): {'cooperate': 1.6718721810987907, 'defect': 0.27731456876007526}, (0, 1, 2): {'cooperate': 1.0976049239484478, 'defect': 0.041982317718308584}, (1, 0, 1): {'cooperate': 2.4562248424872606, 'defect': 6.709393491847607}, (0, 0, 2): {'cooperate': 1.174275445727434, 'defect': 0.5495539833140325}, (0, 0, 1): {'cooperate': 3.4198094754677233, 'defect': 6.948990215275907}, (0, 0, 0): {'cooperate': 0.6617390216785574, 'defect': 0.05309601724137812}, (1, 0, 0): {'cooperate': 0.15726375517241367, 'defect': 0.06230725862068966}, (0, 1, 0): {'cooperate': 0.1296381724137931, 'defect': 0.06658620689655174}}"
TF2T_vs_LRAQ_Mem5,4,lra_q,441.9310344827585,"{'avg_cooperate': 2.6704673846004714, 'avg_defect': 4.6294600024346195}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 0.886653404756524, 'defect': 12.051373694458114}, (0, 1, 2): {'cooperate': 9.842964829321996, 'defect': 12.403042120634213}, (1, 0, 2): {'cooperate': 12.542010910987308, 'defect': 13.71417425844348}, (0, 0, 2): {'cooperate': 2.034726224749043, 'defect': 0.9105038111531487}, (1, 0, 1): {'cooperate': 2.3955657063511904, 'defect': 1.9707521570779902}, (1, 0, 0): {'cooperate': 1.5817673756298531, 'defect': 0.13015858923647905}, (0, 1, 1): {'cooperate': 2.350102222384419, 'defect': 8.591101620783126}, (1, 1, 1): {'cooperate': 0.31034482758620624, 'defect': 1.8358293928703255}, (0, 0, 1): {'cooperate': 1.7127133335557236, 'defect': 6.722583185363348}, (1, 1, 0): {'cooperate': 0.0, 'defect': 1.2751872299641376}, (0, 0, 0): {'cooperate': 0.3372278088290126, 'defect': 0.254796023073985}, (0, 1, 0): {'cooperate': 0.6599303901376135, 'defect': 0.3234779485917109}}"
TF2T_vs_LRAQ_Mem5,5,lra_q,405.3448275862066,"{'avg_cooperate': 2.4450208392733415, 'avg_defect': 5.18532408758223}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 0.6606287567006897, 'defect': 9.421916428871558}, (0, 1, 2): {'cooperate': 2.0098557548943816, 'defect': 4.125166680394434}, (1, 0, 2): {'cooperate': 8.531992028437681, 'defect': 10.878015721943227}, (0, 1, 1): {'cooperate': 4.943709375879524, 'defect': 9.332807489389715}, (1, 1, 1): {'cooperate': 1.8590742302713719, 'defect': 6.708587707163428}, (1, 0, 1): {'cooperate': 1.3169586418914463, 'defect': 0.06700253212335497}, (0, 1, 0): {'cooperate': 5.0474204719668005, 'defect': 9.756482346479388}, (1, 0, 0): {'cooperate': 1.2848356566844648, 'defect': 6.099903806604222}, (0, 0, 1): {'cooperate': 1.7647585493124225, 'defect': 2.798817644062829}, (1, 1, 0): {'cooperate': 1.2028804875908392, 'defect': 0.12127076643375075}, (0, 0, 2): {'cooperate': 1.6154440712894416, 'defect': 0.25467314243592776}, (0, 0, 0): {'cooperate': 1.4649542649447187, 'defect': 7.844568872667145}}"
TF2T_vs_LRAQ_Mem5,6,lra_q,346.93103448275843,"{'avg_cooperate': 2.126782409096127, 'avg_defect': 4.286766251047748}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.1602135136836367, 'defect': 10.948361528427581}, (1, 1, 1): {'cooperate': 6.827121830073375, 'defect': 9.274152989976143}, (0, 1, 2): {'cooperate': 1.2011944777364871, 'defect': 0.0}, (1, 0, 2): {'cooperate': 1.6646519470369572, 'defect': 0.3983087635567126}, (0, 1, 1): {'cooperate': 3.742127527385182, 'defect': 9.565585876302036}, (1, 1, 0): {'cooperate': 1.6492017011921107, 'defect': 0.3138615898306314}, (0, 1, 0): {'cooperate': 1.519193184257678, 'defect': 2.1866033213356473}, (1, 0, 1): {'cooperate': 4.786892810241323, 'defect': 9.432869617023139}, (1, 0, 0): {'cooperate': 2.1249282627527175, 'defect': 7.838170583396411}, (0, 0, 1): {'cooperate': 1.4006119552812304, 'defect': 0.6973077737184535}, (0, 0, 2): {'cooperate': 0.6427304484755644, 'defect': 0.018773398100470264}, (0, 0, 0): {'cooperate': 0.8465450394437377, 'defect': 5.0539658219535}}"
TF2T_vs_LRAQ_Mem5,7,lra_q,432.4137931034484,"{'avg_cooperate': 4.334465830951226, 'avg_defect': 4.221438604694232}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 12.17488969343915, 'defect': 13.53639432585875}, (0, 1, 2): {'cooperate': 10.419935447370051, 'defect': 12.886061957139825}, (1, 0, 2): {'cooperate': 2.6652948473909124, 'defect': 0.0}, (0, 0, 2): {'cooperate': 10.543904286804889, 'defect': 12.602962053619262}, (1, 0, 0): {'cooperate': 1.0783634366678763, 'defect': 0.0}, (1, 1, 1): {'cooperate': 2.4540658103587174, 'defect': 1.9301288443539548}, (0, 0, 1): {'cooperate': 9.906409721035365, 'defect': 11.93065135809373}, (0, 1, 1): {'cooperate': 1.7930677626549947, 'defect': 0.6655096634482748}, (1, 0, 1): {'cooperate': 2.4222714601598176, 'defect': 0.0}, (0, 0, 0): {'cooperate': 1.726515036073719, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.38960653271428447, 'defect': 1.3269936585112119}, (0, 1, 0): {'cooperate': 0.6909731470065024, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,8,lra_q,357.0344827586205,"{'avg_cooperate': 2.309718372011092, 'avg_defect': 4.118525374413798}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 2.2184937854570013, 'defect': 3.027709662126969}, (1, 1, 1): {'cooperate': 1.763415478679234, 'defect': 9.859771650486804}, (1, 1, 0): {'cooperate': 0.6851491745133602, 'defect': 0.0}, (0, 1, 1): {'cooperate': 4.309297934514279, 'defect': 12.182270119971937}, (1, 0, 1): {'cooperate': 9.310938706543219, 'defect': 11.011090954725836}, (1, 0, 2): {'cooperate': 4.036360331860498, 'defect': 9.732823591710229}, (0, 0, 1): {'cooperate': 3.769882225554407, 'defect': 6.910155965983699}, (0, 1, 2): {'cooperate': 0.14752241379310338, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.3747932897966957, 'defect': 0.0}, (0, 0, 2): {'cooperate': 0.7589815293499366, 'defect': 0.0}, (0, 1, 0): {'cooperate': 1.6683272500180917, 'defect': 0.8170079223738924}, (0, 0, 0): {'cooperate': 0.9211077505471248, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,9,lra_q,410.06896551724174,"{'avg_cooperate': 2.5973952255234756, 'avg_defect': 6.033930985477726}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 10.864085822687864, 'defect': 12.763903466893943}, (0, 1, 2): {'cooperate': 4.263711969988927, 'defect': 12.74179157945664}, (1, 0, 2): {'cooperate': 2.2417603218228046, 'defect': 8.88369234845947}, (1, 0, 1): {'cooperate': 3.434128612473623, 'defect': 11.770248541753048}, (1, 1, 1): {'cooperate': 0.2793103448275862, 'defect': 10.623037828791144}, (0, 1, 1): {'cooperate': 6.003947746845462, 'defect': 9.88536402077489}, (0, 0, 2): {'cooperate': 1.7117778736047127, 'defect': 7.8169517377603555}, (1, 0, 0): {'cooperate': 0.0, 'defect': 3.933434807873229}, (0, 0, 1): {'cooperate': 2.435191956721349, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.6648882311172413, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.7570697586206895, 'defect': 0.0}, (0, 0, 0): {'cooperate': 1.0275066724052644, 'defect': 0.02267847944774087}}"
TF2T_vs_LRAQ_Mem5,10,lra_q,395.03448275862064,"{'avg_cooperate': 3.875939369841691, 'avg_defect': 5.710669515786975}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 11.954603641170829, 'defect': 12.719760055960997}, (0, 1, 2): {'cooperate': 9.848173819188085, 'defect': 11.443359980300572}, (1, 0, 2): {'cooperate': 2.086276101746228, 'defect': 8.050582599906244}, (0, 0, 2): {'cooperate': 6.478886511534742, 'defect': 10.884530331550032}, (1, 0, 1): {'cooperate': 0.8569570696551723, 'defect': 10.253551274812743}, (0, 0, 0): {'cooperate': 1.9218846863589985, 'defect': 0.0}, (0, 1, 1): {'cooperate': 5.905070445877887, 'defect': 12.237707422722846}, (0, 0, 1): {'cooperate': 1.6899730730152147, 'defect': 0.5118828423466258}, (1, 1, 0): {'cooperate': 1.533628354139704, 'defect': 0.0}, (1, 1, 1): {'cooperate': 4.01364245667137, 'defect': 7.259315934082554}, (0, 1, 0): {'cooperate': 2.0824981348709692, 'defect': 0.0}, (1, 0, 0): {'cooperate': 1.9535485481955364, 'defect': 0.8780132635480721}}"
TF2T_vs_LRAQ_Mem5,11,lra_q,368.7931034482755,"{'avg_cooperate': 2.8935655579482336, 'avg_defect': 4.427571011654669}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.5839972800427136, 'defect': 6.819003724144112}, (1, 1, 1): {'cooperate': 7.831631010981073, 'defect': 9.36814018776877}, (0, 1, 2): {'cooperate': 0.8199379177858271, 'defect': 0.0}, (1, 0, 1): {'cooperate': 9.986968285088235, 'defect': 11.300863394482496}, (0, 1, 1): {'cooperate': 6.326084163739214, 'defect': 10.384124357243282}, (1, 0, 2): {'cooperate': 0.5475387968342593, 'defect': 5.897129822147502}, (1, 1, 0): {'cooperate': 0.4808764958275662, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.9677374969441384, 'defect': 4.114229950996497}, (0, 0, 0): {'cooperate': 0.7857300708872573, 'defect': 0.0}, (0, 0, 1): {'cooperate': 5.4904776022268305, 'defect': 9.53823283249457}, (0, 0, 2): {'cooperate': 0.3164427051062065, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.41686146234647214, 'defect': 0.13669888223346688}}"
TF2T_vs_LRAQ_Mem5,12,lra_q,438.2758620689653,"{'avg_cooperate': 2.163600779354037, 'avg_defect': 4.741494952658188}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 2.861044873765542, 'defect': 4.6020358878260765}, (1, 1, 1): {'cooperate': 2.7083509795866894, 'defect': 11.262807472139794}, (1, 1, 0): {'cooperate': 0.4085161489655172, 'defect': 7.368489860066242}, (0, 1, 2): {'cooperate': 1.878845271919312, 'defect': 0.0}, (1, 0, 2): {'cooperate': 1.4199781375075862, 'defect': 10.624758379517303}, (0, 1, 0): {'cooperate': 2.4170233541637702, 'defect': 0.4717888932196024}, (1, 0, 0): {'cooperate': 0.972142187966979, 'defect': 3.254021704967284}, (0, 1, 1): {'cooperate': 6.100818969407829, 'defect': 10.713552506625572}, (1, 0, 1): {'cooperate': 2.0948188953911053, 'defect': 0.67097845696242}, (0, 0, 1): {'cooperate': 5.480682070329363, 'defect': 9.442146908562009}, (0, 0, 2): {'cooperate': 1.215623725357409, 'defect': 0.04189761166648995}, (0, 0, 0): {'cooperate': 0.4655172413793104, 'defect': 3.1869567030036525}}"
TF2T_vs_LRAQ_Mem5,13,lra_q,469.82758620689657,"{'avg_cooperate': 3.1076632471349908, 'avg_defect': 6.450681706349307}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 0.8257859458758622, 'defect': 14.008312381736555}, (0, 1, 2): {'cooperate': 5.027211356051136, 'defect': 13.19939724599946}, (1, 0, 2): {'cooperate': 9.016047242546662, 'defect': 12.85550275713208}, (0, 0, 2): {'cooperate': 2.859415583905432, 'defect': 0.0}, (1, 0, 1): {'cooperate': 7.015690587668546, 'defect': 11.352093603844427}, (1, 1, 1): {'cooperate': 2.8930061833559635, 'defect': 2.0670799706060956}, (0, 0, 1): {'cooperate': 3.9176995307779725, 'defect': 9.57224900108829}, (0, 1, 1): {'cooperate': 4.448050317641167, 'defect': 14.353545515784795}, (1, 0, 0): {'cooperate': 0.9940373902109395, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.04344827586206897, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.148118275862069, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,14,lra_q,453.2413793103457,"{'avg_cooperate': 4.411532273535365, 'avg_defect': 6.445673224558089}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1, 1, 2): {'cooperate': 14.40819483227475, 'defect': 15.446829494941507}, (1, 1, 1): {'cooperate': 3.7816605444624107, 'defect': 0.0}, (0, 1, 2): {'cooperate': 12.133710271017028, 'defect': 15.438226929880795}, (1, 0, 2): {'cooperate': 7.342478513095367, 'defect': 15.097353470931594}, (0, 0, 2): {'cooperate': 3.6058510512158133, 'defect': 4.061998515920586}, (0, 1, 1): {'cooperate': 4.061826787373462, 'defect': 11.584875832590512}, (0, 0, 1): {'cooperate': 4.41856146601336, 'defect': 6.984348404098155}, (1, 0, 1): {'cooperate': 4.102244961791523, 'defect': 0.0}, (0, 1, 0): {'cooperate': 1.2221789482758618, 'defect': 0.0}, (1, 0, 0): {'cooperate': 1.0201602188689656, 'defect': 7.568833100597985}, (0, 0, 0): {'cooperate': 0.8785692029505152, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.22965517241379307, 'defect': 7.611286170294015}}"
TF2T_vs_LRAQ_Mem5,15,tit_for_two_tats,95.44827586206911,,
TF2T_vs_LRAQ_Mem5,16,tit_for_two_tats,266.862068965519,,
TF2T_vs_LRAQ_Mem5,17,tit_for_two_tats,179.24137931034488,,
TF2T_vs_LRAQ_Mem5,18,tit_for_two_tats,151.65517241379382,,
TF2T_vs_LRAQ_Mem5,19,tit_for_two_tats,244.06896551724287,,
TF2T_vs_LRAQ_Mem5,20,tit_for_two_tats,273.68965517241514,,
TF2T_vs_LRAQ_Mem5,21,tit_for_two_tats,251.96551724138135,,
TF2T_vs_LRAQ_Mem5,22,tit_for_two_tats,258.4137931034493,,
TF2T_vs_LRAQ_Mem5,23,tit_for_two_tats,201.1034482758632,,
TF2T_vs_LRAQ_Mem5,24,tit_for_two_tats,200.241379310346,,
TF2T_vs_LRAQ_Mem5,25,tit_for_two_tats,151.5517241379318,,
TF2T_vs_LRAQ_Mem5,26,tit_for_two_tats,148.68965517241432,,
TF2T_vs_LRAQ_Mem5,27,tit_for_two_tats,152.06896551724188,,
TF2T_vs_LRAQ_Mem5,28,tit_for_two_tats,257.0689655172436,,
TF2T_vs_LRAQ_Mem5,29,tit_for_two_tats,217.41379310344803,,
