scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
TF2T_vs_LRAQ_Mem5,20,0,lra_q,455.34482758620675,"{'avg_cooperate': 2.357488894861611, 'avg_defect': 4.841885695939276}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.8370683387533333, 'defect': 12.538299257735963}, (1, 1, 1): {'cooperate': 3.0479669147033346, 'defect': 10.427861461628122}, (0, 1, 1): {'cooperate': 7.627970028340689, 'defect': 10.966819714048157}, (1, 0, 2): {'cooperate': 3.2460258096993653, 'defect': 0.0}, (0, 1, 2): {'cooperate': 3.5366668084270465, 'defect': 9.109073307865017}, (1, 0, 1): {'cooperate': 1.2857823620689657, 'defect': 9.984190256090033}, (0, 0, 2): {'cooperate': 2.330764370632736, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.8772421159205189, 'defect': 0.0}, (0, 0, 1): {'cooperate': 1.777287046468832, 'defect': 4.911546657880506}, (0, 0, 0): {'cooperate': 0.586640529531408, 'defect': 0.16483769602352777}, (1, 1, 0): {'cooperate': 0.033004137931034475, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,20,1,lra_q,483.3448275862057,"{'avg_cooperate': 1.6950098770877198, 'avg_defect': 3.8754743570559866}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1, 1, 1): {'cooperate': 1.654424483420321, 'defect': 5.112312028137067}, (1, 1, 2): {'cooperate': 0.0, 'defect': 8.484664124840824}, (0, 1, 2): {'cooperate': 0.31479671464137937, 'defect': 3.371898546607548}, (0, 0, 2): {'cooperate': 1.736003904951556, 'defect': 5.394278373163267}, (0, 0, 1): {'cooperate': 9.446512206329805, 'defect': 11.111674312551632}, (1, 0, 2): {'cooperate': 1.1421529403690558, 'defect': 0.6506555198806032}, (1, 0, 1): {'cooperate': 1.4315114179711153, 'defect': 0.5005219292533314}, (0, 1, 1): {'cooperate': 2.254725006893731, 'defect': 7.926440300532067}, (0, 0, 0): {'cooperate': 0.5817103154569194, 'defect': 0.07777279264951725}, (1, 0, 0): {'cooperate': 0.041892347586206885, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,20,2,lra_q,305.551724137931,"{'avg_cooperate': 1.8675363545475288, 'avg_defect': 3.9472941676601354}","{'initial': {'cooperate': 0.0, 'defect': 0.0706896551724138}, (0, 1, 2): {'cooperate': 0.34099097379310284, 'defect': 0.0}, (1, 0, 2): {'cooperate': 0.6062553066503445, 'defect': 0.0}, (1, 1, 1): {'cooperate': 9.441778246238194, 'defect': 11.498958096015624}, (1, 1, 2): {'cooperate': 1.3483576524188772, 'defect': 0.0}, (1, 1, 0): {'cooperate': 1.1758435335563604, 'defect': 5.800352766003185}, (0, 1, 0): {'cooperate': 0.2608551724137931, 'defect': 8.4920854663697}, (1, 0, 1): {'cooperate': 6.0663598205487235, 'defect': 9.033708924290787}, (0, 1, 1): {'cooperate': 2.3536605677192712, 'defect': 4.778450403486016}, (0, 0, 2): {'cooperate': 0.628341196605669, 'defect': 0.018183440764027583}, (0, 0, 1): {'cooperate': 1.5708165578212214, 'defect': 4.742018198266582}, (0, 0, 0): {'cooperate': 0.17242758620689658, 'defect': 3.5470956504578615}, (1, 0, 0): {'cooperate': 0.31228599514542416, 'defect': 3.3332815787555616}}"
TF2T_vs_LRAQ_Mem5,20,3,lra_q,353.6206896551724,"{'avg_cooperate': 3.1571608391965262, 'avg_defect': 5.096227923157158}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 10.770531005550456, 'defect': 12.507750854641438}, (1, 1, 1): {'cooperate': 1.9231984034689185, 'defect': 1.7629135008235002}, (0, 1, 2): {'cooperate': 6.8821938482956035, 'defect': 10.247532427548782}, (0, 0, 2): {'cooperate': 2.1130987210617045, 'defect': 1.5336627466596562}, (1, 0, 2): {'cooperate': 2.3955068621500706, 'defect': 0.0}, (0, 1, 1): {'cooperate': 8.968823020297075, 'defect': 11.42139319826908}, (1, 0, 1): {'cooperate': 1.9636907532294083, 'defect': 4.256713856075047}, (0, 1, 0): {'cooperate': 1.2916391657145634, 'defect': 0.0}, (0, 0, 1): {'cooperate': 0.8578831034482758, 'defect': 9.891327117284515}, (0, 0, 0): {'cooperate': 1.2753076785431163, 'defect': 1.0681665162434262}, (1, 1, 0): {'cooperate': 0.3329875862068965, 'defect': 7.969033140128781}, (1, 0, 0): {'cooperate': 2.2061617960715227, 'defect': 5.59246964336884}}"
TF2T_vs_LRAQ_Mem5,20,4,lra_q,519.0689655172407,"{'avg_cooperate': 3.6295706585608403, 'avg_defect': 6.123180629161117}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 11.852354154438931, 'defect': 13.933911836094701}, (0, 1, 2): {'cooperate': 6.120372845774763, 'defect': 9.43225870265461}, (1, 0, 2): {'cooperate': 2.7536252237504053, 'defect': 11.91104694699192}, (1, 1, 1): {'cooperate': 5.316780822677161, 'defect': 12.16501767943618}, (1, 0, 1): {'cooperate': 3.5244355144830433, 'defect': 3.0492766292697775}, (0, 1, 1): {'cooperate': 3.328377798162671, 'defect': 4.430007511633731}, (0, 0, 1): {'cooperate': 9.119403447622831, 'defect': 12.651285987400442}, (0, 0, 2): {'cooperate': 0.7108890517241379, 'defect': 5.9053622564520385}, (0, 0, 0): {'cooperate': 0.5440400799582155, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.16043103310344822, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,20,5,lra_q,380.6896551724134,"{'avg_cooperate': 2.916272652853434, 'avg_defect': 4.468086667598718}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 6.970604811949826, 'defect': 9.94532235537796}, (0, 1, 2): {'cooperate': 0.26689655172413784, 'defect': 5.387082510114745}, (1, 0, 2): {'cooperate': 1.8330276816621391, 'defect': 0.0}, (0, 0, 2): {'cooperate': 1.7487501573921347, 'defect': 4.398914915920811}, (0, 1, 1): {'cooperate': 6.099720129484172, 'defect': 10.4048359149471}, (1, 0, 1): {'cooperate': 1.4300561011906054, 'defect': 0.0}, (1, 1, 1): {'cooperate': 6.681380953327032, 'defect': 11.036343745287212}, (0, 0, 1): {'cooperate': 9.374344483911205, 'defect': 11.254630962522743}, (0, 1, 0): {'cooperate': 1.4769077202318384, 'defect': 3.7072257313723673}, (1, 1, 0): {'cooperate': 0.4713584615154771, 'defect': 1.5246186387722127}, (0, 0, 0): {'cooperate': 1.394217185350692, 'defect': 0.42615190446819207}, (1, 0, 0): {'cooperate': 0.10221128383814876, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,20,6,lra_q,412.5862068965514,"{'avg_cooperate': 2.489036559607536, 'avg_defect': 5.292878057364712}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 10.069118776145451, 'defect': 12.287919669157805}, (1, 1, 1): {'cooperate': 1.7859908255112416, 'defect': 1.6875022972214402}, (0, 1, 1): {'cooperate': 1.3003464413793104, 'defect': 9.66277829482381}, (1, 0, 2): {'cooperate': 2.5958479613747882, 'defect': 0.0}, (0, 1, 2): {'cooperate': 3.5857647648205178, 'defect': 10.651636108707654}, (0, 0, 2): {'cooperate': 5.523855453402694, 'defect': 11.589836253403249}, (1, 0, 1): {'cooperate': 2.0081708830731553, 'defect': 1.8229374707039483}, (0, 0, 1): {'cooperate': 2.0510297203292254, 'defect': 10.458667819637107}, (0, 0, 0): {'cooperate': 1.5609030296386395, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.0, 'defect': 5.473035024128462}, (0, 1, 0): {'cooperate': 1.5267922468091513, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.26689655172413784, 'defect': 5.1731018079577815}}"
TF2T_vs_LRAQ_Mem5,20,7,lra_q,504.8965517241373,"{'avg_cooperate': 4.442561821313203, 'avg_defect': 6.715221088451362}","{'initial': {'cooperate': 0.12413793103448277, 'defect': 0.0}, (1, 1, 2): {'cooperate': 14.105395971954863, 'defect': 15.56232301903407}, (0, 1, 2): {'cooperate': 7.841875670707966, 'defect': 11.701861677787281}, (1, 0, 2): {'cooperate': 6.703207748184211, 'defect': 8.299800396294618}, (0, 1, 1): {'cooperate': 3.543905232465053, 'defect': 10.184532328606803}, (0, 0, 2): {'cooperate': 0.9700442472413792, 'defect': 6.099569693770482}, (1, 0, 1): {'cooperate': 3.5367563600729164, 'defect': 3.37058891957698}, (0, 0, 1): {'cooperate': 9.125129747397246, 'defect': 11.592470358380359}, (1, 1, 1): {'cooperate': 5.718794495136228, 'defect': 13.571913499118805}, (1, 1, 0): {'cooperate': 0.38425862068965433, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.7517426889158021, 'defect': 0.19959316884693995}, (1, 0, 0): {'cooperate': 0.5054931419586198, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,20,8,lra_q,396.8965517241384,"{'avg_cooperate': 3.9641757123856216, 'avg_defect': 5.845596804042508}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 10.783285806250259, 'defect': 13.063076226709363}, (1, 1, 1): {'cooperate': 11.220735067161591, 'defect': 13.021650893220482}, (0, 1, 2): {'cooperate': 2.325330411253074, 'defect': 8.68965201461327}, (1, 0, 2): {'cooperate': 2.790608484249969, 'defect': 10.478362145161256}, (0, 1, 1): {'cooperate': 11.045099961823999, 'defect': 13.521044061103336}, (1, 0, 1): {'cooperate': 3.082582494745404, 'defect': 2.4388628126677174}, (0, 0, 2): {'cooperate': 2.5442729825321626, 'defect': 6.923599808865749}, (0, 0, 1): {'cooperate': 2.3997370401949643, 'defect': 2.0109136861689216}, (1, 0, 0): {'cooperate': 1.097238336019161, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.12604555060377845, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.05172413793103434, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,20,9,lra_q,296.551724137931,"{'avg_cooperate': 2.1603441146502096, 'avg_defect': 3.918311863151923}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.5060626233663021, 'defect': 0.0}, (1, 1, 1): {'cooperate': 9.7929895752388, 'defect': 11.12856167185333}, (0, 1, 1): {'cooperate': 5.787583908365527, 'defect': 10.362103535889089}, (1, 0, 1): {'cooperate': 0.674062521515465, 'defect': 1.9736142417668874}, (1, 0, 2): {'cooperate': 1.8825473315172414, 'defect': 8.47672809648385}, (0, 1, 2): {'cooperate': 0.32985653286724137, 'defect': 0.0}, (0, 0, 1): {'cooperate': 1.2152752794095214, 'defect': 0.7977177488661782}, (0, 0, 2): {'cooperate': 0.6222543761030833, 'defect': 0.0}, (1, 1, 0): {'cooperate': 1.1826800615106037, 'defect': 4.341529879970789}, (0, 1, 0): {'cooperate': 2.8680823989195536, 'defect': 8.124800333868532}, (1, 0, 0): {'cooperate': 0.6560689051230678, 'defect': 1.8447418472096446}, (0, 0, 0): {'cooperate': 1.5049410109990755, 'defect': 3.888256865066689}}"
