scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
HysQ_Opt_GlobalBonus_vs_TFT,27,0,hysteretic_q,2212.469118773961,"{'avg_cooperate': 13.507010372281067, 'avg_defect': 5.892928093323559}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.0442648333183, 'defect': 15.262330396452626}, (0.8,): {'cooperate': 0.22676628352490422, 'defect': 2.416453883518054}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,1,hysteretic_q,2203.4836015325827,"{'avg_cooperate': 14.366742303730456, 'avg_defect': 3.04323679783734}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.130174012594416, 'defect': 9.12971039351202}, (0.8,): {'cooperate': 2.7200528985969568, 'defect': 0.0}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,2,hysteretic_q,2205.108429118789,"{'avg_cooperate': 14.261331365195117, 'avg_defect': 4.808253395333795}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.02665969307446, 'defect': 14.424760186001384}, (0.8,): {'cooperate': 2.507334402510891, 'defect': 0.0}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,3,hysteretic_q,2205.3263601532713,"{'avg_cooperate': 14.264251137254258, 'avg_defect': 5.561022891617291}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.004555832747, 'defect': 16.388287435532302}, (0.8,): {'cooperate': 2.5381975790157747, 'defect': 0.2947812393195674}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,4,hysteretic_q,2204.402758620705,"{'avg_cooperate': 14.291867803265427, 'avg_defect': 3.836588342109515}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.07656410048049, 'defect': 11.24868842640986}, (0.8,): {'cooperate': 2.5490393093157917, 'defect': 0.2610765999186838}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,5,hysteretic_q,2205.490498084306,"{'avg_cooperate': 14.275413229475445, 'avg_defect': 4.34437960398913}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.03804210941056, 'defect': 12.738357572647821}, (0.8,): {'cooperate': 2.5381975790157747, 'defect': 0.2947812393195674}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,6,hysteretic_q,2382.451417624512,"{'avg_cooperate': 4.51137799914412, 'avg_defect': 14.492279437432321}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 12.114616483121713, 'defect': 43.47683831229696}, (0.8,): {'cooperate': 1.1695175143106473, 'defect': 0.0}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,7,hysteretic_q,2203.604904214574,"{'avg_cooperate': 14.412691550038938, 'avg_defect': 3.369049551850736}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.07745626953143, 'defect': 10.107148655552209}, (0.8,): {'cooperate': 2.9106183805853867, 'defect': 0.0}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,8,hysteretic_q,2207.2868199233862,"{'avg_cooperate': 14.328232145141627, 'avg_defect': 6.104914195203289}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 39.82407805483949, 'defect': 18.314742585609867}, (0.8,): {'cooperate': 2.9106183805853867, 'defect': 0.0}}"
HysQ_Opt_GlobalBonus_vs_TFT,27,9,hysteretic_q,2204.6773180076775,"{'avg_cooperate': 14.339018434626894, 'avg_defect': 4.669438809824222}","{'initial': {'cooperate': 0.25, 'defect': 0.0}, (1.0,): {'cooperate': 40.04726023848556, 'defect': 14.008316429472668}, (0.8,): {'cooperate': 2.719795065395121, 'defect': 0.0}}"
