scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
HysQ_Opt_MemEnh_L1_vs_TFT,5,0,hysteretic_q,256.586206896553,"{'avg_cooperate': 1.208490627982825, 'avg_defect': 0.2306955766334602}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1, 1, 2): {'cooperate': 4.6027504494313, 'defect': 0.9227823065338407}, (0, 1, 2): {'cooperate': 0.10267499676724137, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.10267499676724137, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,1,hysteretic_q,270.1724137931045,"{'avg_cooperate': 1.2529393767899697, 'avg_defect': 0.6492469337876389}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1, 1, 2): {'cooperate': 4.575020317430325, 'defect': 2.5969877351505555}, (0, 1, 2): {'cooperate': 0.3592802931778297, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.0515948275862069, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,2,hysteretic_q,211.27586206896672,"{'avg_cooperate': 0.9793859812449068, 'avg_defect': 0.350087656885608}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.698075484602125, 'defect': 1.400350627542432}, (1, 1, 1): {'cooperate': 0.03612931034482759, 'defect': 0.0}, (0, 1, 2): {'cooperate': 0.1626494748602612, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,3,hysteretic_q,163.89655172413902,"{'avg_cooperate': 0.6799545225400664, 'avg_defect': 0.268934798926019}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1, 1, 2): {'cooperate': 2.693669497821739, 'defect': 1.195190615847959}, (0, 1, 2): {'cooperate': 0.13139625236926925, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.5282327245782892, 'defect': 0.14948337878213586}, (0, 1, 1): {'cooperate': 0.03095689655172414, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,4,hysteretic_q,159.2413793103457,"{'avg_cooperate': 0.8497752748283282, 'avg_defect': 0.27155823983167965}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1, 1, 2): {'cooperate': 2.6929355976367035, 'defect': 0.8252549546266964}, (1, 1, 1): {'cooperate': 0.5836433710853536, 'defect': 0.18683170987738743}, (0, 1, 2): {'cooperate': 0.10700488921194529, 'defect': 0.0741462948226347}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,5,hysteretic_q,219.55172413793247,"{'avg_cooperate': 0.9966118873539149, 'avg_defect': 0.5800917289441435}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.66523203408331, 'defect': 2.244622460808646}, (0, 1, 2): {'cooperate': 0.2592499980909703, 'defect': 0.07574445496792813}, (1, 1, 1): {'cooperate': 0.04127586206896552, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,6,hysteretic_q,322.7931034482781,"{'avg_cooperate': 1.559609702518938, 'avg_defect': 0.8271779370357614}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1, 1, 2): {'cooperate': 5.408618831641348, 'defect': 3.3087117481430455}, (1, 1, 1): {'cooperate': 0.32300839931112124, 'defect': 0.0}, (0, 1, 2): {'cooperate': 0.475777096364662, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,7,hysteretic_q,262.68965517241503,"{'avg_cooperate': 1.2559202063418868, 'avg_defect': 0.5082059412884332}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1, 1, 2): {'cooperate': 4.547806217873047, 'defect': 2.032823765153733}, (1, 1, 1): {'cooperate': 0.22815735332296708, 'defect': 0.0}, (0, 1, 2): {'cooperate': 0.22185518520601688, 'defect': 0.0}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,8,hysteretic_q,243.37931034482895,"{'avg_cooperate': 0.9833640572934115, 'avg_defect': 0.4202349783664269}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1, 1, 2): {'cooperate': 4.049545483764478, 'defect': 1.9192843292216861}, (0, 1, 1): {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.5486619543335414, 'defect': 0.09340365333574423}, (0, 1, 2): {'cooperate': 0.2668887104380038, 'defect': 0.08848690927470439}}"
HysQ_Opt_MemEnh_L1_vs_TFT,5,9,hysteretic_q,208.2068965517259,"{'avg_cooperate': 0.6169436845715955, 'avg_defect': 0.4560156188656413}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.1848460419941342, 'defect': 1.6818882809470257}, (1, 1, 1): {'cooperate': 0.06175913793103448, 'defect': 1.0542054322468222}, (0, 1, 2): {'cooperate': 0.39298796198716385, 'defect': 0.0}, (0, 1, 1): {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
