scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Memory_Comparison,6,0,lra_q,312.7241379310343,"{'avg_cooperate': 2.721616021872812, 'avg_defect': 5.2084972100777955}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 9.31304601577481, 'defect': 11.03308730794933}, (1, 1, 1): {'cooperate': 3.4400684915928412, 'defect': 8.09013808653679}, (0, 1, 2): {'cooperate': 3.784892897809249, 'defect': 8.413373214188388}, (1, 0, 2): {'cooperate': 4.982112743574519, 'defect': 11.18980733409099}, (0, 1, 1): {'cooperate': 0.9867056855172414, 'defect': 10.554944213074911}, (1, 0, 1): {'cooperate': 1.2851751918291856, 'defect': 0.826197602817483}, (0, 1, 0): {'cooperate': 2.0697396142240176, 'defect': 4.031340385008894}, (1, 0, 0): {'cooperate': 1.6363164286718956, 'defect': 3.9014913839645997}, (0, 0, 2): {'cooperate': 0.5540052526443053, 'defect': 1.3273744117461699}, (0, 0, 1): {'cooperate': 1.3731402258450196, 'defect': 0.21126043274779052}, (0, 0, 0): {'cooperate': 1.8529290820640003, 'defect': 0.0}, (1, 1, 0): {'cooperate': 4.040807689282229, 'defect': 8.131449358886002}}"
Memory_Comparison,6,1,lra_q,382.20689655172384,"{'avg_cooperate': 3.3256413406614747, 'avg_defect': 6.685081546758444}","{'initial': {'cooperate': 0.0, 'defect': 0.07758620689655173}, (0, 1, 2): {'cooperate': 1.9617147721549628, 'defect': 9.953151284230039}, (1, 0, 2): {'cooperate': 8.95046852989762, 'defect': 11.818560330877492}, (1, 1, 2): {'cooperate': 9.553339884598408, 'defect': 11.711332589682343}, (1, 1, 1): {'cooperate': 4.968397982835732, 'defect': 8.746610552583771}, (0, 1, 1): {'cooperate': 3.676218468127185, 'defect': 11.0113790909238}, (1, 1, 0): {'cooperate': 1.4976604481755718, 'defect': 0.24858254378407738}, (1, 0, 1): {'cooperate': 2.147876843288415, 'defect': 9.093268075689057}, (0, 0, 0): {'cooperate': 1.9363297573300986, 'defect': 1.0753153969142661}, (0, 1, 0): {'cooperate': 3.3143420100057828, 'defect': 8.285549860718888}, (0, 0, 1): {'cooperate': 1.7663337699741126, 'defect': 4.8289393796719455}, (1, 0, 0): {'cooperate': 1.8267151685485474, 'defect': 10.055784795887549}, (0, 0, 2): {'cooperate': 1.6339397936627422, 'defect': 0.0}}"
Memory_Comparison,6,2,lra_q,390.34482758620663,"{'avg_cooperate': 3.005055864253601, 'avg_defect': 5.695653425723592}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1, 1, 1): {'cooperate': 2.042376004261392, 'defect': 10.78922420270018}, (1, 1, 2): {'cooperate': 1.771031196231688, 'defect': 0.0}, (1, 1, 0): {'cooperate': 5.990799424027161, 'defect': 11.083364403715642}, (0, 1, 2): {'cooperate': 4.405025899313491, 'defect': 9.834867183221053}, (1, 0, 2): {'cooperate': 6.363614004270897, 'defect': 9.606679327113355}, (1, 0, 0): {'cooperate': 1.5021148888543352, 'defect': 0.24788692921094954}, (0, 0, 2): {'cooperate': 4.250633980006873, 'defect': 8.254150849533875}, (1, 0, 1): {'cooperate': 1.3885804593496567, 'defect': 0.8987163033679704}, (0, 1, 1): {'cooperate': 4.358660905267568, 'defect': 8.47162750138773}, (0, 0, 0): {'cooperate': 3.6581778518266796, 'defect': 5.462097600503133}, (0, 0, 1): {'cooperate': 1.8233369596125475, 'defect': 1.00861125568611}, (0, 1, 0): {'cooperate': 1.4906850071021094, 'defect': 8.38626897796669}}"
Memory_Comparison,6,3,lra_q,365.37931034482784,"{'avg_cooperate': 2.5645739931995175, 'avg_defect': 3.8472791362767063}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 8.438063721501143, 'defect': 12.728831117155373}, (0, 1, 2): {'cooperate': 2.6533894530040003, 'defect': 0.0}, (1, 0, 2): {'cooperate': 2.283300180570479, 'defect': 0.0}, (0, 1, 1): {'cooperate': 3.1989479989758554, 'defect': 8.502381397423283}, (1, 0, 1): {'cooperate': 1.6396674484364142, 'defect': 0.30704481208304985}, (1, 1, 1): {'cooperate': 2.4454904501846375, 'defect': 8.6454996323435}, (1, 1, 0): {'cooperate': 3.3848906965890615, 'defect': 8.19805559763304}, (1, 0, 0): {'cooperate': 0.5925256349793008, 'defect': 0.16829644312505906}, (0, 0, 2): {'cooperate': 0.4089119015578412, 'defect': 0.13611824874584552}, (0, 1, 0): {'cooperate': 2.111829215441477, 'defect': 1.3028829147978125}, (0, 0, 1): {'cooperate': 5.34310469285563, 'defect': 9.853723480510464}, (0, 0, 0): {'cooperate': 0.7565818968082426, 'defect': 0.1717951277797495}}"
Memory_Comparison,6,4,lra_q,348.344827586207,"{'avg_cooperate': 2.964159643702288, 'avg_defect': 4.361051325763319}","{'initial': {'cooperate': 0.0, 'defect': 0.0706896551724138}, (0, 1, 2): {'cooperate': 1.5151805739440993, 'defect': 0.0}, (1, 0, 2): {'cooperate': 7.994067005143924, 'defect': 11.007780660447489}, (0, 1, 1): {'cooperate': 9.772339883915203, 'defect': 11.609238411386338}, (1, 1, 1): {'cooperate': 1.0489267693628346, 'defect': 3.842253738737808}, (1, 1, 2): {'cooperate': 0.0, 'defect': 8.078710283652287}, (1, 0, 1): {'cooperate': 10.364964026785099, 'defect': 11.450471287168888}, (0, 0, 1): {'cooperate': 3.9249095281233988, 'defect': 5.216258910485809}, (0, 0, 2): {'cooperate': 0.814723725988844, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.7751928335733377, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.9559523345946772, 'defect': 0.7916110256663359}, (0, 1, 0): {'cooperate': 0.6421744574388566, 'defect': 0.0}, (0, 0, 0): {'cooperate': 0.7256442292594752, 'defect': 4.626653262205782}}"
Memory_Comparison,6,5,lra_q,334.7241379310345,"{'avg_cooperate': 2.3303326800310797, 'avg_defect': 3.549018742868273}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.6671309792404376, 'defect': 10.827150325031306}, (0, 1, 2): {'cooperate': 1.403230566940676, 'defect': 0.0}, (1, 0, 2): {'cooperate': 1.1423693762340403, 'defect': 0.0}, (1, 0, 1): {'cooperate': 1.4674676476193307, 'defect': 0.967818299233281}, (1, 1, 1): {'cooperate': 10.025065045100556, 'defect': 11.240603535370223}, (0, 1, 1): {'cooperate': 5.783818348765376, 'defect': 11.357044395427787}, (1, 0, 0): {'cooperate': 1.020960098476533, 'defect': 0.0}, (0, 0, 1): {'cooperate': 5.339974279187061, 'defect': 10.140755612540387}, (0, 0, 2): {'cooperate': 0.6071186904009113, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.6053163113182292, 'defect': 0.44776790875677025}, (0, 1, 0): {'cooperate': 0.6424384610446, 'defect': 0.829223391835904}, (0, 0, 0): {'cooperate': 0.527366070559045, 'defect': 0.32688018909188493}}"
Memory_Comparison,6,6,lra_q,362.6551724137934,"{'avg_cooperate': 3.582581528180079, 'avg_defect': 5.812437271778294}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 9.545463023049233, 'defect': 13.139809915486774}, (1, 1, 1): {'cooperate': 2.55523354129854, 'defect': 0.0}, (0, 1, 2): {'cooperate': 1.7540553539909058, 'defect': 0.0}, (1, 0, 2): {'cooperate': 7.472953560558301, 'defect': 9.7262451091576}, (0, 1, 1): {'cooperate': 7.88068185131539, 'defect': 11.612654747904957}, (1, 0, 1): {'cooperate': 2.6942320571805642, 'defect': 12.498053537408033}, (0, 1, 0): {'cooperate': 2.2088215976458825, 'defect': 7.159355366538449}, (1, 1, 0): {'cooperate': 5.497090584242425, 'defect': 10.242126979586896}, (1, 0, 0): {'cooperate': 1.1442092685687713, 'defect': 0.17085567929524398}, (0, 0, 1): {'cooperate': 2.768853742974835, 'defect': 2.5282894719834657}, (0, 0, 2): {'cooperate': 2.466789423447212, 'defect': 4.3511592234266}, (0, 0, 0): {'cooperate': 0.5024172413793102, 'defect': 4.13313450232979}}"
Memory_Comparison,6,7,lra_q,310.9655172413793,"{'avg_cooperate': 3.577749882119, 'avg_defect': 4.581324265511106}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 7.680125881612269, 'defect': 9.238638567037325}, (1, 1, 1): {'cooperate': 11.267346328349959, 'defect': 12.098586772442834}, (0, 1, 1): {'cooperate': 10.81406641073432, 'defect': 12.087547851255918}, (1, 0, 2): {'cooperate': 1.9678289240645044, 'defect': 0.0}, (1, 1, 0): {'cooperate': 2.8251363075373903, 'defect': 6.704859860634118}, (1, 0, 1): {'cooperate': 2.3095805827193394, 'defect': 0.0}, (0, 1, 2): {'cooperate': 2.2629445831872106, 'defect': 1.9617653720689652}, (0, 1, 0): {'cooperate': 1.9593048920776202, 'defect': 2.2340051867615136}, (0, 0, 2): {'cooperate': 1.1499242300068964, 'defect': 1.75620334573851}, (0, 0, 1): {'cooperate': 2.382424163296617, 'defect': 2.550175060579611}, (1, 0, 0): {'cooperate': 1.5299971984436262, 'defect': 2.528097038675763}, (0, 0, 0): {'cooperate': 0.2793103448275862, 'defect': 8.397336396449827}}"
Memory_Comparison,6,8,lra_q,311.5172413793107,"{'avg_cooperate': 2.235306468669975, 'avg_defect': 5.015076716984327}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 2.166038649280999, 'defect': 8.817197338098216}, (1, 1, 1): {'cooperate': 5.176456220932055, 'defect': 11.63792384503115}, (0, 1, 2): {'cooperate': 1.9041509803955181, 'defect': 1.3177857326352893}, (1, 0, 2): {'cooperate': 6.854467672210936, 'defect': 9.148400559950135}, (1, 1, 0): {'cooperate': 0.0, 'defect': 10.19124209877196}, (0, 1, 0): {'cooperate': 1.6086582744360909, 'defect': 1.327257669019091}, (0, 1, 1): {'cooperate': 4.859330455926705, 'defect': 10.768876376269946}, (1, 0, 1): {'cooperate': 2.0406989879556456, 'defect': 1.3701593321154966}, (0, 0, 1): {'cooperate': 0.5166206896551724, 'defect': 6.318051102113175}, (0, 0, 0): {'cooperate': 1.4436440341166166, 'defect': 0.0}, (0, 0, 2): {'cooperate': 0.7929045151805756, 'defect': 3.75790429901543}, (1, 0, 0): {'cooperate': 1.6132549919297032, 'defect': 0.5411989677763632}}"
Memory_Comparison,6,9,lra_q,505.86206896551613,"{'avg_cooperate': 1.52534551237096, 'avg_defect': 5.178272725627679}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.3654049053518604, 'defect': 8.167342593921827}, (0, 1, 2): {'cooperate': 3.399049325227033, 'defect': 10.987603552349121}, (1, 0, 2): {'cooperate': 0.20689655172413793, 'defect': 12.043909104431895}, (0, 0, 2): {'cooperate': 1.8445416250140982, 'defect': 0.16619944655283814}, (0, 1, 1): {'cooperate': 2.60103058368096, 'defect': 5.481277324483643}, (1, 0, 0): {'cooperate': 1.42641713288815, 'defect': 2.8814040884853864}, (0, 0, 1): {'cooperate': 3.9322284109297403, 'defect': 9.346133449055444}, (1, 0, 1): {'cooperate': 1.5263946189695505, 'defect': 4.436562534778214}, (0, 1, 0): {'cooperate': 0.6182068965517242, 'defect': 5.535481843421953}, (0, 0, 0): {'cooperate': 2.698058879450744, 'defect': 7.967210806024331}, (1, 1, 0): {'cooperate': 0.12850411034482756, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.0, 'defect': 0.3044206896551723}}"
