scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
LRA_vs_Standard_QL,0,lra_q,1266.6551724137937,"{'avg_cooperate': 13.032986644101312, 'avg_defect': 12.247776624278778}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 11.699261621473747, 'defect': 0.0}, (0.8,): {'cooperate': 22.444464196362425, 'defect': 24.044818068099236}, (0.6,): {'cooperate': 18.598041487459934, 'defect': 22.29338310453389}, (0.4,): {'cooperate': 24.057880066208305, 'defect': 27.14845857303954}, (0.2,): {'cooperate': 0.9017207689655173, 'defect': 0.0}}"
LRA_vs_Standard_QL,1,lra_q,1302.758620689655,"{'avg_cooperate': 12.476335113766572, 'avg_defect': 13.4970848507486}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 11.154960765863912, 'defect': 10.391017143232636}, (0.8,): {'cooperate': 17.76397095986221, 'defect': 21.50689856062407}, (0.6,): {'cooperate': 20.48655381806848, 'defect': 23.111642326914307}, (0.4,): {'cooperate': 23.767063069839306, 'defect': 25.972951073720584}, (0.2,): {'cooperate': 1.1889103448275862, 'defect': 0.0}}"
LRA_vs_Standard_QL,2,lra_q,1291.0344827586205,"{'avg_cooperate': 12.82086947793569, 'avg_defect': 13.212803575618238}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 10.759147717293814, 'defect': 5.107904381383433}, (0.8,): {'cooperate': 17.756256453992783, 'defect': 24.48431957510528}, (0.6,): {'cooperate': 23.96537436748576, 'defect': 25.02708024516452}, (0.4,): {'cooperate': 21.878200756427987, 'defect': 24.657517252056206}, (0.2,): {'cooperate': 2.069685848275861, 'defect': 0.0}}"
LRA_vs_Standard_QL,3,lra_q,1264.1724137931033,"{'avg_cooperate': 11.895909673267328, 'avg_defect': 15.394917577717257}","{'initial': {'cooperate': 0.0, 'defect': 0.22241379310344828}, (1.0,): {'cooperate': 4.458676802693793, 'defect': 17.943453401570697}, (0.8,): {'cooperate': 22.067526198641342, 'defect': 24.588831382421425}, (0.6,): {'cooperate': 20.973227140520788, 'defect': 23.58445462875576}, (0.4,): {'cooperate': 22.902847759817014, 'defect': 26.030352260452208}, (0.2,): {'cooperate': 0.9731801379310345, 'defect': 0.0}}"
LRA_vs_Standard_QL,4,lra_q,1319.1034482758619,"{'avg_cooperate': 13.174715918793291, 'avg_defect': 13.863839832731557}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 11.693077217452249, 'defect': 8.55402985681015}, (0.8,): {'cooperate': 22.573452559380936, 'defect': 24.128484301366864}, (0.6,): {'cooperate': 23.63283756708545, 'defect': 25.063084580309653}, (0.4,): {'cooperate': 19.942824720565262, 'defect': 25.293109947557852}, (0.2,): {'cooperate': 0.7095517241379311, 'defect': 0.14433031034482746}}"
LRA_vs_Standard_QL,5,lra_q,1189.4827586206904,"{'avg_cooperate': 11.751953884119189, 'avg_defect': 14.163690536259494}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 9.201146833916496, 'defect': 14.672365521324435}, (0.8,): {'cooperate': 21.564986674637556, 'defect': 24.601644120909437}, (0.6,): {'cooperate': 14.959102294754139, 'defect': 19.152797071217144}, (0.4,): {'cooperate': 23.59898715657936, 'defect': 26.555336504105952}, (0.2,): {'cooperate': 0.6909486206896551, 'defect': 0.0}}"
LRA_vs_Standard_QL,6,lra_q,1301.689655172413,"{'avg_cooperate': 12.537759600079012, 'avg_defect': 14.949953815930433}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 11.73074742816833, 'defect': 17.83185767690247}, (0.8,): {'cooperate': 19.748812593598625, 'defect': 22.933540582096708}, (0.6,): {'cooperate': 19.521318794989856, 'defect': 23.36165038581953}, (0.4,): {'cooperate': 22.922269818200025, 'defect': 25.5726742507639}, (0.2,): {'cooperate': 0.8068572413793101, 'defect': 0.0}}"
LRA_vs_Standard_QL,7,lra_q,1313.9310344827586,"{'avg_cooperate': 10.651531287680575, 'avg_defect': 10.552552916520197}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 10.326918833172959, 'defect': 0.0}, (0.8,): {'cooperate': 16.06368161246529, 'defect': 22.795792026945332}, (0.6,): {'cooperate': 20.87630501738319, 'defect': 23.4319480871139}, (0.4,): {'cooperate': 14.956820194096494, 'defect': 17.087577385061955}, (0.2,): {'cooperate': 1.1889103448275862, 'defect': 0.0}}"
LRA_vs_Standard_QL,8,lra_q,1305.4827586206902,"{'avg_cooperate': 11.986477399569225, 'avg_defect': 12.015724882377432}","{'initial': {'cooperate': 0.4965517241379311, 'defect': 0.0}, (1.0,): {'cooperate': 11.632822946240097, 'defect': 0.0}, (0.8,): {'cooperate': 20.560895203603813, 'defect': 25.225106615401973}, (0.6,): {'cooperate': 23.14624638835021, 'defect': 25.30847945640038}, (0.4,): {'cooperate': 15.773037790255719, 'defect': 21.471747360393277}, (0.2,): {'cooperate': 0.30931034482758624, 'defect': 0.08901586206896553}}"
LRA_vs_Standard_QL,9,lra_q,1292.517241379311,"{'avg_cooperate': 13.112410839638367, 'avg_defect': 12.413293638175935}","{'initial': {'cooperate': 0.0, 'defect': 0.22241379310344828}, (1.0,): {'cooperate': 10.000171494566944, 'defect': 0.0}, (0.8,): {'cooperate': 23.517101468239485, 'defect': 24.780206177535284}, (0.6,): {'cooperate': 24.43034585693769, 'defect': 25.34518204001747}, (0.4,): {'cooperate': 20.035897597396428, 'defect': 24.131959818399398}, (0.2,): {'cooperate': 0.6909486206896551, 'defect': 0.0}}"
