scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
GeneratedScenario_0010,0,0,q_learning_adaptive,211.77551020408086,"{'avg_cooperate': 1.1365217376949048, 'avg_defect': 0.1459660581591567}","{'initial': {'cooperate': 0.13011177287115397, 'defect': 0.08461648796403537}, (1.0,): {'cooperate': 0.8321167448666621, 'defect': 0.16137779539871483}, (0.8,): {'cooperate': 0.9475287452094981, 'defect': 0.14221391812118359}, (0.6,): {'cooperate': 2.0558252872699363, 'defect': 0.20926319671296947}, (0.4,): {'cooperate': 2.577415980009854, 'defect': 0.3768635203288316}, (0.2,): {'cooperate': 0.27613189594232523, 'defect': -0.09853856957079464}}"
GeneratedScenario_0010,0,1,tit_for_two_tats,30.244897959183792,,
GeneratedScenario_0010,0,2,tit_for_two_tats,88.57142857142878,,
GeneratedScenario_0010,0,3,tit_for_two_tats,479.69387755101917,,
GeneratedScenario_0010,0,4,tit_for_two_tats,413.97959183673424,,
GeneratedScenario_0010,0,5,lra_q,407.591836734694,"{'avg_cooperate': 2.2931575249806695, 'avg_defect': 5.413315088642212}","{'initial': {'cooperate': 0.01902609634645684, 'defect': -0.021740789953075018}, (1.0,): {'cooperate': 0.7134333911293526, 'defect': 9.070135963813962}, (0.8,): {'cooperate': 7.653926832767844, 'defect': 11.525830537026057}, (0.6,): {'cooperate': 1.9921925576379098, 'defect': 6.384052500340368}, (0.4,): {'cooperate': 1.087208747021784, 'defect': 0.10829723198374794}}"
GeneratedScenario_0010,0,6,lra_q,256.9387755102035,"{'avg_cooperate': 2.4489723234113687, 'avg_defect': 3.5254061665882337}","{'initial': {'cooperate': 0.036683558192707647, 'defect': -0.04487317573757457}, (1.0,): {'cooperate': 2.821402693056733, 'defect': -0.0735311437910507}, (0.8,): {'cooperate': 6.399223862783964, 'defect': 12.904089288959558}, (0.6,): {'cooperate': 2.0898279976584933, 'defect': 2.012259194773985}, (0.4,): {'cooperate': 1.2233194080234933, 'defect': 0.40834020973435775}, (0.2,): {'cooperate': 2.123376420752824, 'defect': 5.94615262559013}}"
GeneratedScenario_0010,0,7,lra_q,211.16326530612125,"{'avg_cooperate': 1.869903347778238, 'avg_defect': 4.376871075658012}","{'initial': {'cooperate': 0.13945817506644415, 'defect': 0.06989719303727343}, (1.0,): {'cooperate': 1.6002456592887055, 'defect': 0.049697176239517304}, (0.8,): {'cooperate': 4.844073618753299, 'defect': 11.53525754899145}, (0.6,): {'cooperate': 2.017102373210644, 'defect': 11.779918882225484}, (0.4,): {'cooperate': 1.5494190193175368, 'defect': 2.8058632552004408}, (0.2,): {'cooperate': 1.0691212410327984, 'defect': 0.020592398253903396}}"
GeneratedScenario_0010,0,8,lra_q,495.7959183673474,"{'avg_cooperate': 3.5387616068947683, 'avg_defect': 6.50352733341816}","{'initial': {'cooperate': 0.07827613769853832, 'defect': 0.017960236706231966}, (1.0,): {'cooperate': 5.846897887451389, 'defect': 10.931776554565584}, (0.8,): {'cooperate': 6.127321544674953, 'defect': 11.37462856318071}, (0.6,): {'cooperate': 7.04495081883189, 'defect': 11.577957797715504}, (0.4,): {'cooperate': 1.5412286540725195, 'defect': 5.202337592827242}, (0.2,): {'cooperate': 0.5938945986393187, 'defect': -0.08349674448631024}}"
GeneratedScenario_0010,0,9,lra_q,396.3673469387741,"{'avg_cooperate': 1.342122909632603, 'avg_defect': 4.6638229587250475}","{'initial': {'cooperate': 0.0863902943279464, 'defect': 0.01593900214912118}, (1.0,): {'cooperate': 3.029196914796814, 'defect': 7.934165589218392}, (0.6,): {'cooperate': 2.2758175916204366, 'defect': 7.891914122389025}, (0.8,): {'cooperate': 1.493336255328456, 'defect': 7.40162479033362}, (0.4,): {'cooperate': 0.8198715536988316, 'defect': 0.2491638578527269}, (0.2,): {'cooperate': 0.34812484802313426, 'defect': 4.490130390407398}}"
GeneratedScenario_0010,0,10,lra_q,457.61224489795944,"{'avg_cooperate': 1.533696401415601, 'avg_defect': 5.557364569612144}","{'initial': {'cooperate': 0.09213251087298309, 'defect': 0.032049075724477794}, (1.0,): {'cooperate': 2.5742555132540055, 'defect': 7.7012943838862}, (0.8,): {'cooperate': 1.9777893256557049, 'defect': -0.01108407918873186}, (0.6,): {'cooperate': 1.0887465097972573, 'defect': 10.432805939898975}, (0.4,): {'cooperate': 2.7766059347626593, 'defect': 8.362634707812001}, (0.2,): {'cooperate': 0.6926486141509945, 'defect': 6.82648738953994}}"
GeneratedScenario_0010,0,11,lra_q,450.8367346938768,"{'avg_cooperate': 1.5749864728771896, 'avg_defect': 4.937850647660913}","{'initial': {'cooperate': 0.12242050083557077, 'defect': 0.08338824358949123}, (1.0,): {'cooperate': 1.6951546289202253, 'defect': 4.875594491709365}, (0.8,): {'cooperate': 3.620645067290192, 'defect': 9.543617753636788}, (0.6,): {'cooperate': 1.73366581418206, 'defect': 7.539820963062007}, (0.4,): {'cooperate': 1.9431314913571127, 'defect': 7.442858463678204}, (0.2,): {'cooperate': 0.3349013346779767, 'defect': 0.14182397028962762}}"
GeneratedScenario_0010,0,12,lra_q,467.9387755102039,"{'avg_cooperate': 1.3895467747348478, 'avg_defect': 6.960178227105188}","{'initial': {'cooperate': -0.03163702914008679, 'defect': -0.08352540236067052}, (1.0,): {'cooperate': 0.23151653320445553, 'defect': 6.8947859837871865}, (0.8,): {'cooperate': 1.445052184104098, 'defect': 11.478186274205246}, (0.6,): {'cooperate': 1.7061469760394656, 'defect': 5.683194358125246}, (0.4,): {'cooperate': 3.2385409393476654, 'defect': 8.57757645921814}, (0.2,): {'cooperate': 1.7476610448534893, 'defect': 9.210851689655973}}"
GeneratedScenario_0010,0,13,lra_q,404.75510204081485,"{'avg_cooperate': 2.9873006933887285, 'avg_defect': 4.877313316560438}","{'initial': {'cooperate': 0.03774173779264124, 'defect': -0.0027111596061666354}, (1.0,): {'cooperate': 0.7255838096655677, 'defect': 7.496324311754795}, (0.8,): {'cooperate': 1.4166360882031248, 'defect': -0.07513503956930859}, (0.6,): {'cooperate': 9.775662963876586, 'defect': 11.170756945820214}, (0.4,): {'cooperate': 5.923854777343619, 'defect': 10.682319103762053}, (0.2,): {'cooperate': 0.04432478345082847, 'defect': -0.007674262798956971}}"
GeneratedScenario_0010,0,14,lra_q,344.6734693877541,"{'avg_cooperate': 2.6507971572866955, 'avg_defect': 4.892815784725022}","{'initial': {'cooperate': 0.10828492239989315, 'defect': 0.06901551513430304}, (1.0,): {'cooperate': 0.7307681498062827, 'defect': -0.06686500542558405}, (0.8,): {'cooperate': 3.8948938364420362, 'defect': 9.018246217500495}, (0.6,): {'cooperate': 4.783349944455826, 'defect': 10.046940280230306}, (0.4,): {'cooperate': 5.669505662343491, 'defect': 10.248163809038044}, (0.2,): {'cooperate': 0.7179804282726429, 'defect': 0.0413938918725722}}"
GeneratedScenario_0010,0,15,lra_q,352.7959183673457,"{'avg_cooperate': 1.551098526788852, 'avg_defect': 4.7309295895215016}","{'initial': {'cooperate': 0.06573801136221283, 'defect': 0.046297844158169565}, (1.0,): {'cooperate': 0.724675037985627, 'defect': 8.810222588608106}, (0.6,): {'cooperate': 5.0215527061675616, 'defect': 9.920440541310441}, (0.2,): {'cooperate': 0.39242835164000706, 'defect': 0.14675738400929017}}"
GeneratedScenario_0010,0,16,lra_q,357.2448979591834,"{'avg_cooperate': 3.0660410483802663, 'avg_defect': 6.508839748691214}","{'initial': {'cooperate': -0.03478133076544507, 'defect': -0.0559078926264343}, (1.0,): {'cooperate': 7.542031193822923, 'defect': 10.74937149845867}, (0.6,): {'cooperate': 0.9704492416359676, 'defect': 5.62936542248551}, (0.2,): {'cooperate': 3.786465088827618, 'defect': 9.712529966447109}}"
GeneratedScenario_0010,0,17,lra_q,393.53061224489727,"{'avg_cooperate': 2.465235261830645, 'avg_defect': 6.076836347752181}","{'initial': {'cooperate': -0.002634016999514186, 'defect': -0.03349277015606891}, (1.0,): {'cooperate': 0.13608491855818475, 'defect': 9.97330622032122}, (0.8,): {'cooperate': 6.21583924317995, 'defect': 9.964131716556881}, (0.4,): {'cooperate': 5.078568953160731, 'defect': 10.470823251927344}, (0.2,): {'cooperate': 0.8983172112538733, 'defect': 0.009413320111529122}}"
GeneratedScenario_0010,0,18,lra_q,158.28571428571348,"{'avg_cooperate': 2.125304196774008, 'avg_defect': 1.9998798583942525}","{'initial': {'cooperate': -0.017948255875534704, 'defect': -0.07987849595678076}, (1.0,): {'cooperate': 1.2238246088652214, 'defect': -0.001083465924942642}, (0.8,): {'cooperate': 1.1825128553788362, 'defect': 0.06387884301645463}, (0.6,): {'cooperate': 1.0988202479590776, 'defect': 0.05458248187868764}, (0.4,): {'cooperate': 8.448129130542975, 'defect': 11.116500138249437}, (0.2,): {'cooperate': 0.8164865937734723, 'defect': 0.8452796491026595}}"
GeneratedScenario_0010,0,19,lra_q,417.4285714285695,"{'avg_cooperate': 2.667222598010666, 'avg_defect': 4.240206683529858}","{'initial': {'cooperate': 0.07928997819092282, 'defect': 0.03953412803824777}, (1.0,): {'cooperate': 1.6197050501373509, 'defect': -0.006621552929495289}, (0.8,): {'cooperate': 6.662052306119798, 'defect': 10.245429171982483}, (0.6,): {'cooperate': 1.327064465813128, 'defect': 4.8143460961536935}, (0.4,): {'cooperate': 5.976278289069452, 'defect': 10.248785846317423}, (0.2,): {'cooperate': 0.3389454987333466, 'defect': 0.09976641161679338}}"
GeneratedScenario_0010,0,20,lra_q,298.1020408163264,"{'avg_cooperate': 1.8807555905117, 'avg_defect': 4.409093328795302}","{'initial': {'cooperate': -0.052690577224638116, 'defect': -0.09466064106755896}, (1.0,): {'cooperate': 1.2539406291055037, 'defect': 6.21491985835095}, (0.8,): {'cooperate': 1.2277915681718392, 'defect': 0.03970048654632499}, (0.6,): {'cooperate': 3.396037438105962, 'defect': 10.176977462758408}, (0.4,): {'cooperate': 4.872864017383972, 'defect': 10.159269066894895}, (0.2,): {'cooperate': 0.5865904675275599, 'defect': -0.04164626071121318}}"
GeneratedScenario_0010,0,21,lra_q,410.1224489795917,"{'avg_cooperate': 3.328656522452019, 'avg_defect': 4.102700938635115}","{'initial': {'cooperate': 0.051222889221234455, 'defect': 0.021267683550843783}, (1.0,): {'cooperate': 1.0740385213866024, 'defect': -0.020059434103806}, (0.8,): {'cooperate': 10.087522809850977, 'defect': 11.14769201678275}, (0.4,): {'cooperate': 5.2028213055792225, 'defect': 9.27779788091638}, (0.2,): {'cooperate': 0.22767708622205773, 'defect': 0.08680654602940555}}"
GeneratedScenario_0010,0,22,lra_q,436.0612244897951,"{'avg_cooperate': 2.723535093452332, 'avg_defect': 6.438884771380952}","{'initial': {'cooperate': -0.001195027553546897, 'defect': -0.02175811813543463}, (1.0,): {'cooperate': 6.76185689781224, 'defect': 10.867501915153458}, (0.6,): {'cooperate': 2.7605342343007586, 'defect': 8.829671470878731}, (0.2,): {'cooperate': 1.3729442692498761, 'defect': 6.080123817627056}}"
GeneratedScenario_0010,0,23,lra_q,449.8367346938773,"{'avg_cooperate': 1.9208107332963626, 'avg_defect': 3.759784185993657}","{'initial': {'cooperate': 0.11472170681497082, 'defect': 0.09610333012945374}, (1.0,): {'cooperate': 6.226430602417675, 'defect': 10.791770818053648}, (0.6,): {'cooperate': 1.3072562482087462, 'defect': 4.136922991922576}, (0.2,): {'cooperate': 0.034834375744057774, 'defect': 0.014339603868951431}}"
GeneratedScenario_0010,0,24,lra_q,338.91836734693777,"{'avg_cooperate': 3.775894439960415, 'avg_defect': 4.217634358500782}","{'initial': {'cooperate': -0.029767836568305728, 'defect': -0.06108180886353363}, (1.0,): {'cooperate': 1.167323542976767, 'defect': -0.01963663555749129}, (0.8,): {'cooperate': 9.038633554360459, 'defect': 10.533546969339383}, (0.4,): {'cooperate': 8.19493361581019, 'defect': 10.47045449844623}, (0.2,): {'cooperate': 0.5083493232229672, 'defect': 0.1648887691393196}}"
GeneratedScenario_0010,0,25,lra_q,461.08163265306024,"{'avg_cooperate': 1.0225346667357023, 'avg_defect': 4.437392599961297}","{'initial': {'cooperate': 0.0631069729472056, 'defect': 0.04362266529186837}, (1.0,): {'cooperate': 0.5158541097425213, 'defect': -0.03676457255573154}, (0.6,): {'cooperate': 1.4580386550688242, 'defect': 9.598609870267302}, (0.2,): {'cooperate': 2.053138929184258, 'defect': 8.144102436841749}}"
