scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
TF2T_vs_LRAQ_Mem5,9,0,lra_q,404.0689655172406,"{'avg_cooperate': 3.858450660352041, 'avg_defect': 5.490441578945323}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 6.372883738899303, 'defect': 8.827068600791145}, (0, 1, 1): {'cooperate': 9.58694144357813, 'defect': 10.715686898755074}, (1, 0, 2): {'cooperate': 0.3202361609274762, 'defect': 0.0}, (1, 1, 1): {'cooperate': 7.909353566242799, 'defect': 10.193569512444894}, (1, 0, 1): {'cooperate': 8.546203278384692, 'defect': 10.624795097965674}, (0, 0, 2): {'cooperate': 3.208697065781399, 'defect': 6.0692948163097356}, (0, 0, 1): {'cooperate': 2.587372414900417, 'defect': 5.151801636891244}, (0, 1, 2): {'cooperate': 0.2965507463736, 'defect': 0.0}, (0, 1, 0): {'cooperate': 7.157832779651768, 'defect': 9.367772594106528}, (1, 1, 0): {'cooperate': 1.3903472739481644, 'defect': 3.86770968417987}, (1, 0, 0): {'cooperate': 1.0229891868203946, 'defect': 0.0}, (0, 0, 0): {'cooperate': 1.6983819635511432, 'defect': 6.5580416848450485}}"
TF2T_vs_LRAQ_Mem5,9,1,lra_q,507.89655172413774,"{'avg_cooperate': 2.81997532831243, 'avg_defect': 5.0452034636531}","{'initial': {'cooperate': 0.12413793103448277, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.739697926699252, 'defect': 0.0}, (1, 1, 1): {'cooperate': 4.0005454138495535, 'defect': 10.753034824400128}, (0, 1, 2): {'cooperate': 0.8931352632006186, 'defect': 5.19690338286309}, (1, 0, 2): {'cooperate': 0.700293103448276, 'defect': 12.365707243654402}, (0, 1, 1): {'cooperate': 12.041090061740114, 'defect': 13.966681864454852}, (0, 0, 1): {'cooperate': 3.2407901086632367, 'defect': 0.6116521535459783}, (0, 0, 2): {'cooperate': 1.6548843944439464, 'defect': 5.736491180531683}, (1, 0, 1): {'cooperate': 9.072466887063648, 'defect': 13.134258298361495}, (0, 0, 0): {'cooperate': 0.4996670228767312, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.0, 'defect': 0.7820537931034461}, (1, 1, 0): {'cooperate': 0.24310344827586114, 'defect': 0.0}, (1, 0, 0): {'cooperate': 0.44986770676587373, 'defect': 3.040862286575221}}"
TF2T_vs_LRAQ_Mem5,9,2,lra_q,479.06896551724174,"{'avg_cooperate': 3.9787088197729052, 'avg_defect': 5.648430179302263}","{'initial': {'cooperate': 0.12413793103448277, 'defect': 0.0}, (1, 1, 2): {'cooperate': 10.330730820474601, 'defect': 13.441884967304432}, (0, 1, 1): {'cooperate': 13.204659982307565, 'defect': 14.205972154200792}, (1, 0, 2): {'cooperate': 2.6809041271231617, 'defect': 13.528296513394586}, (0, 1, 2): {'cooperate': 3.2151768539686527, 'defect': 0.0}, (1, 0, 1): {'cooperate': 4.249307190168454, 'defect': 13.643779455215}, (1, 1, 1): {'cooperate': 3.6947974687100342, 'defect': 3.9688973099338387}, (0, 0, 2): {'cooperate': 2.1232508136998893, 'defect': 1.3162744408810478}, (1, 0, 0): {'cooperate': 0.8639565068868901, 'defect': 0.0}, (0, 0, 1): {'cooperate': 3.2437029093351146, 'defect': 2.0276271313951995}, (0, 1, 0): {'cooperate': 0.035172413793103444, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,9,3,lra_q,413.5172413793097,"{'avg_cooperate': 2.3726562571229475, 'avg_defect': 5.238867356812365}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.0646441302986611, 'defect': 5.096816878472808}, (1, 1, 1): {'cooperate': 0.46287931034482754, 'defect': 8.991594135076326}, (0, 1, 2): {'cooperate': 1.1058243119366373, 'defect': 0.0}, (1, 0, 2): {'cooperate': 0.4760510489973435, 'defect': 8.9300924180133}, (0, 1, 1): {'cooperate': 1.5008368378863446, 'defect': 11.02717749189424}, (1, 0, 1): {'cooperate': 9.972618518709618, 'defect': 10.543458342472956}, (1, 1, 0): {'cooperate': 0.9330594240548251, 'defect': 0.0}, (0, 1, 0): {'cooperate': 6.420740984373141, 'defect': 9.491300346696375}, (0, 0, 2): {'cooperate': 0.44177549575886754, 'defect': 0.09802777034753794}, (1, 0, 0): {'cooperate': 0.7525063077376257, 'defect': 0.0}, (0, 0, 1): {'cooperate': 5.307692878261404, 'defect': 9.217714161694158}, (0, 0, 0): {'cooperate': 2.343833128721779, 'defect': 4.7090940938930546}}"
TF2T_vs_LRAQ_Mem5,9,4,lra_q,367.82758620689697,"{'avg_cooperate': 3.925162278850019, 'avg_defect': 5.760080454214346}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 7.812444846998345, 'defect': 9.632904055035427}, (1, 1, 1): {'cooperate': 4.749495264083058, 'defect': 10.23525311459273}, (0, 1, 2): {'cooperate': 1.7353260802719863, 'defect': 8.884806640111444}, (1, 0, 2): {'cooperate': 10.003240191289526, 'defect': 11.768182708649196}, (0, 1, 1): {'cooperate': 3.689887235640837, 'defect': 9.824624964768772}, (1, 0, 1): {'cooperate': 6.622026475073316, 'defect': 10.01307619758248}, (1, 0, 0): {'cooperate': 1.705856338531891, 'defect': 0.0}, (0, 1, 0): {'cooperate': 8.500666347869178, 'defect': 11.328238056112712}, (0, 0, 1): {'cooperate': 2.155992623315861, 'defect': 1.79414777684222}, (0, 0, 0): {'cooperate': 1.8918505736181748, 'defect': 1.3998123910915217}, (1, 1, 0): {'cooperate': 1.2155690991458497, 'defect': 0.0}, (0, 0, 2): {'cooperate': 0.8619959285225739, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,9,5,lra_q,367.20689655172373,"{'avg_cooperate': 1.818440414874643, 'avg_defect': 5.047066631150482}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 0.4268445331034483, 'defect': 9.608737455548416}, (0, 1, 2): {'cooperate': 1.1611064520930803, 'defect': 0.0}, (1, 0, 2): {'cooperate': 0.9785908044340641, 'defect': 9.64974803049945}, (0, 1, 1): {'cooperate': 0.8112589830330024, 'defect': 8.943588935943513}, (0, 0, 2): {'cooperate': 1.138437251862636, 'defect': 0.0}, (1, 1, 0): {'cooperate': 1.4465598783170912, 'defect': 0.5488040881141075}, (1, 0, 0): {'cooperate': 1.4232825268266551, 'defect': 0.5419581230615064}, (1, 0, 1): {'cooperate': 4.768096080604759, 'defect': 8.858385987021704}, (0, 1, 0): {'cooperate': 7.426443390451793, 'defect': 10.321523499401327}, (1, 1, 1): {'cooperate': 0.9200966091475862, 'defect': 5.999194581588018}, (0, 0, 1): {'cooperate': 1.2195295436087692, 'defect': 8.454767869580206}, (0, 0, 0): {'cooperate': 1.83672071919782, 'defect': 2.6851576341980152}}"
TF2T_vs_LRAQ_Mem5,9,6,lra_q,337.4482758620686,"{'avg_cooperate': 1.8274848159374024, 'avg_defect': 3.9106182125213063}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 2.445343964074772, 'defect': 6.519313280601519}, (1, 1, 1): {'cooperate': 4.1697386692394875, 'defect': 8.38114913126474}, (0, 1, 1): {'cooperate': 2.284462153241922, 'defect': 6.8348959042098}, (1, 0, 1): {'cooperate': 5.6834709193545505, 'defect': 10.524782351470193}, (1, 0, 2): {'cooperate': 0.4466397289048274, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.937154059893238, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.9466902532758736, 'defect': 6.403747533148841}, (0, 1, 2): {'cooperate': 0.32405015272081816, 'defect': 0.0}, (1, 0, 0): {'cooperate': 3.206984788202621, 'defect': 7.166869741199358}, (0, 0, 1): {'cooperate': 0.9089062500235976, 'defect': 0.7771258892677897}, (0, 0, 0): {'cooperate': 0.5143078867998774, 'defect': 0.31953471909343845}}"
TF2T_vs_LRAQ_Mem5,9,7,lra_q,595.241379310344,"{'avg_cooperate': 3.0745539071795616, 'avg_defect': 5.219542648886531}","{'initial': {'cooperate': 0.12413793103448277, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.410198509131525, 'defect': 11.109236423828673}, (0, 1, 2): {'cooperate': 2.2668148527066485, 'defect': 0.0}, (1, 0, 2): {'cooperate': 8.969755514693121, 'defect': 12.594588732757366}, (0, 1, 1): {'cooperate': 7.217047170222307, 'defect': 9.954478772235511}, (1, 0, 1): {'cooperate': 3.0392658459770754, 'defect': 1.156469582779442}, (1, 1, 1): {'cooperate': 1.9168439269655173, 'defect': 6.106704679461473}, (0, 0, 2): {'cooperate': 0.9111995968465102, 'defect': 4.802289771358029}, (0, 0, 1): {'cooperate': 7.3524493309803205, 'defect': 11.673110720638137}, (0, 0, 0): {'cooperate': 0.5089320245555974, 'defect': 0.018090454693206366}, (1, 0, 0): {'cooperate': 0.10344827586206898, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,9,8,lra_q,523.1379310344821,"{'avg_cooperate': 2.891659654456108, 'avg_defect': 4.50729091134388}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.1000892307002, 'defect': 0.0}, (1, 1, 1): {'cooperate': 3.8153910590223092, 'defect': 8.77310812295846}, (0, 1, 2): {'cooperate': 3.2629886940637567, 'defect': 0.0}, (1, 0, 2): {'cooperate': 11.204468562091245, 'defect': 13.47034412057634}, (0, 1, 1): {'cooperate': 4.1003036784767, 'defect': 8.337331059420821}, (1, 0, 1): {'cooperate': 3.5743523996947157, 'defect': 11.85023836958752}, (0, 0, 1): {'cooperate': 4.327601861760016, 'defect': 8.515656714933527}, (0, 0, 2): {'cooperate': 0.053881390786248665, 'defect': 2.93799293857157}, (0, 0, 0): {'cooperate': 0.8566744107998755, 'defect': 0.20281961007831148}, (1, 0, 0): {'cooperate': 0.2324404281471933, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.06827586206896553, 'defect': 0.0}}"
TF2T_vs_LRAQ_Mem5,9,9,lra_q,355.17241379310315,"{'avg_cooperate': 4.311667037217789, 'avg_defect': 5.789511124965918}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 9.703471009301872, 'defect': 11.992244331131735}, (0, 1, 2): {'cooperate': 1.44784912355243, 'defect': 0.0}, (1, 0, 2): {'cooperate': 1.279479899707521, 'defect': 0.0}, (1, 1, 1): {'cooperate': 3.901171653183368, 'defect': 6.643630040397322}, (0, 1, 1): {'cooperate': 10.082664954535732, 'defect': 12.037738777448475}, (0, 0, 2): {'cooperate': 6.95133509184457, 'defect': 10.765237119943098}, (0, 0, 1): {'cooperate': 1.702875930128765, 'defect': 1.1633912309357897}, (1, 1, 0): {'cooperate': 2.0793914068089725, 'defect': 5.225020451564255}, (1, 0, 1): {'cooperate': 6.521328714443681, 'defect': 11.641287418058875}, (0, 1, 0): {'cooperate': 2.4640838439840076, 'defect': 1.5170692844397657}, (0, 0, 0): {'cooperate': 2.0265440410338673, 'defect': 4.715126147911506}, (1, 0, 0): {'cooperate': 7.808717194616816, 'defect': 9.562899822726108}}"
