scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Baseline_QL_BasicState,21,0,q_learning,374.5517241379304,"{'avg_cooperate': 3.6872618691535837, 'avg_defect': 4.989921165052605}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, 'standard': {'cooperate': 7.33314442796234, 'defect': 9.97984233010521}}"
Baseline_QL_BasicState,21,1,q_learning,487.51724137931024,"{'avg_cooperate': 4.25520930246337, 'avg_defect': 5.092936821662287}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, 'standard': {'cooperate': 8.479384122168119, 'defect': 10.185873643324573}}"
Baseline_QL_BasicState,21,2,q_learning,610.103448275862,"{'avg_cooperate': 3.964001557046489, 'avg_defect': 5.279940546288973}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, 'standard': {'cooperate': 7.876278976161943, 'defect': 10.559881092577946}}"
Baseline_QL_BasicState,21,3,q_learning,347.20689655172373,"{'avg_cooperate': 3.166068455087961, 'avg_defect': 4.904782349391242}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, 'standard': {'cooperate': 6.301102427417302, 'defect': 9.809564698782484}}"
Baseline_QL_BasicState,21,4,q_learning,496.62068965517204,"{'avg_cooperate': 3.7862244293265834, 'avg_defect': 5.04735450673583}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, 'standard': {'cooperate': 7.541414375894546, 'defect': 10.09470901347166}}"
Baseline_QL_BasicState,21,5,q_learning,387.1034482758617,"{'avg_cooperate': 3.335553212557555, 'avg_defect': 4.961025095387809}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, 'standard': {'cooperate': 6.629727114770283, 'defect': 9.922050190775618}}"
Baseline_QL_BasicState,21,6,q_learning,384.9310344827582,"{'avg_cooperate': 3.004980549121201, 'avg_defect': 4.974549273792364}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, 'standard': {'cooperate': 5.968581787897575, 'defect': 9.949098547584727}}"
Baseline_QL_BasicState,21,7,q_learning,531.862068965517,"{'avg_cooperate': 4.226896550057855, 'avg_defect': 5.131715391912371}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, 'standard': {'cooperate': 8.42275861735709, 'defect': 10.263430783824742}}"
Baseline_QL_BasicState,21,8,q_learning,538.7241379310329,"{'avg_cooperate': 4.430593705220263, 'avg_defect': 5.155926529202509}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, 'standard': {'cooperate': 8.830152927681905, 'defect': 10.311853058405019}}"
Baseline_QL_BasicState,21,9,q_learning,459.75862068965444,"{'avg_cooperate': 4.069109398645327, 'avg_defect': 5.068769945467067}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, 'standard': {'cooperate': 8.107184314532033, 'defect': 10.137539890934134}}"
