scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
GeneratedScenario_0010,2,0,q_learning_adaptive,44250,"{'avg_cooperate': 5.022189862363926, 'avg_defect': 0.4539227779115664}","{'initial': {'cooperate': 0.09062411619962794, 'defect': -0.06205340389704379}, (1.0,): {'cooperate': 6.283054671480145, 'defect': 0.33617536169827}, (0.8,): {'cooperate': 7.725725883770616, 'defect': 0.604376338727314}, (0.6,): {'cooperate': 7.652910979309581, 'defect': 0.3946923273137213}, (0.4,): {'cooperate': 7.955876242297765, 'defect': 0.48736621832822075}, (0.2,): {'cooperate': 0.4249472811258192, 'defect': 0.9629798252989158}}"
GeneratedScenario_0010,2,1,tit_for_two_tats,49492,,
GeneratedScenario_0010,2,2,tit_for_two_tats,49492,,
GeneratedScenario_0010,2,3,tit_for_two_tats,49492,,
GeneratedScenario_0010,2,4,tit_for_two_tats,49492,,
GeneratedScenario_0010,2,5,lra_q,66834,"{'avg_cooperate': 18.22124572995919, 'avg_defect': 18.2542181009722}","{'initial': {'cooperate': 0.5398331497514254, 'defect': 0.06451413074107054}, (1.0,): {'cooperate': 24.539760695770227, 'defect': 25.753680145203045}, (0.8,): {'cooperate': 24.721796881384904, 'defect': 28.22223677657057}, (0.6,): {'cooperate': 26.185124998535137, 'defect': 27.40692856870106}, (0.4,): {'cooperate': 25.67317317125503, 'defect': 28.168036041136435}, (0.2,): {'cooperate': 7.667785483058416, 'defect': -0.09008705651898824}}"
GeneratedScenario_0010,2,6,lra_q,59533,"{'avg_cooperate': 15.955289985616147, 'avg_defect': 8.694068462458164}","{'initial': {'cooperate': 0.5797238797856425, 'defect': 0.09904660989740327}, (1.0,): {'cooperate': 20.676407904069187, 'defect': 20.558258414866117}, (0.8,): {'cooperate': 17.25548875216034, 'defect': 0.004878919151273836}, (0.6,): {'cooperate': 17.568616913134576, 'defect': 11.127350689834458}, (0.4,): {'cooperate': 17.483049415205645, 'defect': 20.35177606422566}, (0.2,): {'cooperate': 22.1684530493415, 'defect': 0.023100076774065822}}"
GeneratedScenario_0010,2,7,lra_q,66200,"{'avg_cooperate': 17.105210106381197, 'avg_defect': 15.451178068176432}","{'initial': {'cooperate': 0.5398823297557923, 'defect': 0.04312736524075109}, (1.0,): {'cooperate': 17.804819181339926, 'defect': 22.839941280679017}, (0.8,): {'cooperate': 22.938770286840715, 'defect': 23.58710216168141}, (0.6,): {'cooperate': 19.581621657909082, 'defect': 23.441329967969917}, (0.4,): {'cooperate': 21.642739968542973, 'defect': 22.842109645957816}, (0.2,): {'cooperate': 20.1234272138987, 'defect': -0.04654201247032117}}"
GeneratedScenario_0010,2,8,lra_q,56277,"{'avg_cooperate': 16.27423849120085, 'avg_defect': 13.251026440439098}","{'initial': {'cooperate': 0.4811225877992024, 'defect': -0.012806294442763128}, (1.0,): {'cooperate': 21.3842357989894, 'defect': 19.46844915008923}, (0.8,): {'cooperate': 18.668464941747988, 'defect': 22.897801422617654}, (0.6,): {'cooperate': 20.616250025847975, 'defect': 23.054838467474383}, (0.4,): {'cooperate': 15.31049063076593, 'defect': 14.142858529081218}, (0.2,): {'cooperate': 21.184866962054606, 'defect': -0.04498263218514223}}"
GeneratedScenario_0010,2,9,lra_q,59637,"{'avg_cooperate': 17.43570486768532, 'avg_defect': 13.840015186871456}","{'initial': {'cooperate': 0.4946351213961136, 'defect': 0.0025395535325683227}, (1.0,): {'cooperate': 19.727116383441437, 'defect': 19.897103120814133}, (0.8,): {'cooperate': 21.12025690092109, 'defect': 22.757151609248847}, (0.6,): {'cooperate': 21.386556345277004, 'defect': 18.094341724843076}, (0.4,): {'cooperate': 19.669076874226185, 'defect': 22.250943838750167}, (0.2,): {'cooperate': 22.216587580850092, 'defect': 0.03801127403995752}}"
GeneratedScenario_0010,2,10,lra_q,62740,"{'avg_cooperate': 14.817360668319255, 'avg_defect': 10.802992250525449}","{'initial': {'cooperate': 0.4962429433070619, 'defect': -0.012092295925878543}, (1.0,): {'cooperate': 22.956127575670322, 'defect': 13.489562993160064}, (0.8,): {'cooperate': 21.535816494998762, 'defect': 5.384859919911651}, (0.6,): {'cooperate': 19.25742996976631, 'defect': 22.776970486238522}, (0.4,): {'cooperate': 4.440273077464995, 'defect': 23.132840379956345}, (0.2,): {'cooperate': 20.21827394870809, 'defect': 0.04581201981198674}}"
GeneratedScenario_0010,2,11,lra_q,55776,"{'avg_cooperate': 17.050292654770896, 'avg_defect': 10.22812433312881}","{'initial': {'cooperate': 0.4846354868333988, 'defect': -0.0009677158479892978}, (1.0,): {'cooperate': 23.823278724783307, 'defect': 21.110611947532732}, (0.8,): {'cooperate': 18.38919632958749, 'defect': 0.05353237991880644}, (0.6,): {'cooperate': 17.290620394693377, 'defect': 19.986800505901325}, (0.4,): {'cooperate': 18.58277174199542, 'defect': 20.227978574784615}, (0.2,): {'cooperate': 23.731253250732372, 'defect': -0.009209693516633297}}"
GeneratedScenario_0010,2,12,lra_q,59364,"{'avg_cooperate': 15.777993461908132, 'avg_defect': 11.212854659253859}","{'initial': {'cooperate': 0.552438522315037, 'defect': 0.051013943467760225}, (1.0,): {'cooperate': 23.787262627748614, 'defect': 7.0799060796509155}, (0.8,): {'cooperate': 23.54349841789472, 'defect': 10.985127487757078}, (0.6,): {'cooperate': 18.679242851308125, 'defect': 24.35354834688925}, (0.4,): {'cooperate': 20.137633427524257, 'defect': 24.813418039062345}, (0.2,): {'cooperate': 7.967884924658039, 'defect': -0.005885941304190095}}"
GeneratedScenario_0010,2,13,lra_q,49190,"{'avg_cooperate': 13.142261153281865, 'avg_defect': 4.226659703530648}","{'initial': {'cooperate': 0.4786814685905972, 'defect': -0.029466269148220023}, (1.0,): {'cooperate': 13.881148530708868, 'defect': 0.05579665541657158}, (0.8,): {'cooperate': 18.08450915370293, 'defect': 5.056611001610708}, (0.6,): {'cooperate': 17.364192610575103, 'defect': 0.059444191321816664}, (0.4,): {'cooperate': 15.366607298839476, 'defect': 20.25965587489239}, (0.2,): {'cooperate': 13.67842785727421, 'defect': -0.04208323290937735}}"
GeneratedScenario_0010,2,14,lra_q,65564,"{'avg_cooperate': 15.923949732833199, 'avg_defect': 12.351378738039736}","{'initial': {'cooperate': 0.45649678438917796, 'defect': -0.05580062719067811}, (1.0,): {'cooperate': 17.666760738064575, 'defect': 20.6782675527454}, (0.8,): {'cooperate': 17.868228768852052, 'defect': 22.81501902016361}, (0.6,): {'cooperate': 18.956218774529372, 'defect': 11.350679581590718}, (0.4,): {'cooperate': 17.69970161471765, 'defect': 19.264264558455483}, (0.2,): {'cooperate': 22.89629171644635, 'defect': 0.05584234247387368}}"
GeneratedScenario_0010,2,15,lra_q,61379,"{'avg_cooperate': 16.327075627194326, 'avg_defect': 12.111543500222604}","{'initial': {'cooperate': 0.5070840254321155, 'defect': 0.013987447062626557}, (1.0,): {'cooperate': 19.291198338095025, 'defect': 22.804593178561696}, (0.8,): {'cooperate': 20.308472992867262, 'defect': 21.789939202364604}, (0.6,): {'cooperate': 20.25964011633072, 'defect': 16.22767610790996}, (0.4,): {'cooperate': 13.957315263649036, 'defect': 11.73561260976254}, (0.2,): {'cooperate': 23.6387430267918, 'defect': 0.09745245567420671}}"
GeneratedScenario_0010,2,16,lra_q,51804,"{'avg_cooperate': 15.522287461691858, 'avg_defect': 11.228492864455413}","{'initial': {'cooperate': 0.481231758867341, 'defect': -0.026242603820829657}, (1.0,): {'cooperate': 18.07524948619834, 'defect': 10.23654733963373}, (0.8,): {'cooperate': 17.4877684801874, 'defect': 21.86474462436326}, (0.6,): {'cooperate': 19.416040879533504, 'defect': 17.166795683394707}, (0.4,): {'cooperate': 16.66608756556226, 'defect': 18.182335162909354}, (0.2,): {'cooperate': 21.007346599802304, 'defect': -0.053223019747753966}}"
GeneratedScenario_0010,2,17,lra_q,51600,"{'avg_cooperate': 15.72161133543303, 'avg_defect': 9.686370707811434}","{'initial': {'cooperate': 0.47680744962275284, 'defect': -0.014887038698424962}, (1.0,): {'cooperate': 17.869403886855377, 'defect': -0.038800492013887404}, (0.8,): {'cooperate': 20.90310818322719, 'defect': 24.678314157531755}, (0.6,): {'cooperate': 19.782601173705018, 'defect': 25.212292206648808}, (0.4,): {'cooperate': 18.705673529861354, 'defect': 8.361371101035264}, (0.2,): {'cooperate': 16.592073789326474, 'defect': -0.08006568763489635}}"
GeneratedScenario_0010,2,18,lra_q,57016,"{'avg_cooperate': 17.537028703585772, 'avg_defect': 13.064205042629839}","{'initial': {'cooperate': 0.4282292069257958, 'defect': -0.08045612135640763}, (1.0,): {'cooperate': 21.75532734822336, 'defect': 21.60829593334235}, (0.8,): {'cooperate': 20.679024717412073, 'defect': 23.264569125880616}, (0.6,): {'cooperate': 21.22049131489836, 'defect': 11.326365186312813}, (0.4,): {'cooperate': 19.56207881990003, 'defect': 22.171126720822414}, (0.2,): {'cooperate': 21.577020814155013, 'defect': 0.09532941077725618}}"
GeneratedScenario_0010,2,19,lra_q,54798,"{'avg_cooperate': 15.658228638541365, 'avg_defect': 12.094744647931082}","{'initial': {'cooperate': 0.5267838652837843, 'defect': 0.031868804031330605}, (1.0,): {'cooperate': 19.194975260580588, 'defect': 0.03483780415907908}, (0.8,): {'cooperate': 19.638999993560514, 'defect': 24.113716012740284}, (0.6,): {'cooperate': 17.931757490875516, 'defect': 24.055809124988958}, (0.4,): {'cooperate': 21.8719946001189, 'defect': 24.42968740387932}, (0.2,): {'cooperate': 14.784860620828894, 'defect': -0.09745126221248171}}"
GeneratedScenario_0010,2,20,lra_q,65245,"{'avg_cooperate': 16.66807389422199, 'avg_defect': 18.059339223876204}","{'initial': {'cooperate': 0.43793429065434364, 'defect': -0.06498936603087294}, (1.0,): {'cooperate': 24.215765180972387, 'defect': 26.184244818104066}, (0.8,): {'cooperate': 17.704230010460453, 'defect': 27.978418985355535}, (0.6,): {'cooperate': 24.85453516308202, 'defect': 26.93106549950004}, (0.4,): {'cooperate': 24.950658352757866, 'defect': 27.426252020539444}, (0.2,): {'cooperate': 7.845320367404861, 'defect': -0.09895661421098603}}"
GeneratedScenario_0010,2,21,lra_q,58452,"{'avg_cooperate': 16.18438121410787, 'avg_defect': 11.305752448852777}","{'initial': {'cooperate': 0.42140709597331655, 'defect': -0.09527941361222916}, (1.0,): {'cooperate': 20.871821228156787, 'defect': 19.097037880665546}, (0.8,): {'cooperate': 20.49744073446715, 'defect': 5.13743297584771}, (0.6,): {'cooperate': 18.053921633910008, 'defect': 21.569612319660273}, (0.4,): {'cooperate': 18.8403238038896, 'defect': 22.10658465923967}, (0.2,): {'cooperate': 18.421372788250366, 'defect': 0.01912627131568942}}"
GeneratedScenario_0010,2,22,lra_q,61737,"{'avg_cooperate': 17.187749253347786, 'avg_defect': 13.630857408534384}","{'initial': {'cooperate': 0.5226515252194979, 'defect': 0.03597656229551249}, (1.0,): {'cooperate': 19.560823383644554, 'defect': 20.428491678510536}, (0.8,): {'cooperate': 20.254627902064655, 'defect': 22.484199576829038}, (0.6,): {'cooperate': 20.07981679570436, 'defect': 18.508067897001972}, (0.4,): {'cooperate': 19.543372078447163, 'defect': 20.337188535700417}, (0.2,): {'cooperate': 23.165203835006484, 'defect': -0.008779799131156452}}"
GeneratedScenario_0010,2,23,lra_q,59454,"{'avg_cooperate': 15.457229276192942, 'avg_defect': 13.027500569913514}","{'initial': {'cooperate': 0.4133876001403185, 'defect': -0.08282359438272024}, (1.0,): {'cooperate': 18.37857877383696, 'defect': 6.014854117801761}, (0.8,): {'cooperate': 20.723372270135457, 'defect': 24.404877241123582}, (0.6,): {'cooperate': 22.647526159537556, 'defect': 25.32133905301692}, (0.4,): {'cooperate': 19.912177566478206, 'defect': 22.443574801397396}, (0.2,): {'cooperate': 10.668333287029155, 'defect': 0.06318180052414249}}"
GeneratedScenario_0010,2,24,lra_q,65052,"{'avg_cooperate': 17.217630586727548, 'avg_defect': 12.248853546216722}","{'initial': {'cooperate': 0.5454800395431991, 'defect': 0.05850690751602758}, (1.0,): {'cooperate': 22.643489286594388, 'defect': 23.0315030125403}, (0.8,): {'cooperate': 20.534055984851072, 'defect': 5.295061011019833}, (0.6,): {'cooperate': 20.12860350648014, 'defect': 22.968203503222256}, (0.4,): {'cooperate': 19.59501748627326, 'defect': 22.0801146734703}, (0.2,): {'cooperate': 19.859137216623232, 'defect': 0.059732169531611035}}"
GeneratedScenario_0010,2,25,lra_q,71861,"{'avg_cooperate': 15.383504393883038, 'avg_defect': 18.71571732923689}","{'initial': {'cooperate': 0.5263812383665367, 'defect': 0.020768576881086395}, (1.0,): {'cooperate': 23.291704688497358, 'defect': 29.64852896779705}, (0.8,): {'cooperate': 23.929733383531943, 'defect': 26.754344077867348}, (0.6,): {'cooperate': 25.081984978042723, 'defect': 27.99767173321805}, (0.4,): {'cooperate': 10.481488463770482, 'defect': 27.87928171667514}, (0.2,): {'cooperate': 8.989733611089171, 'defect': -0.006291097017324221}}"
