scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
ChrisSmallWorld_GTFT_vs_QLP,7,0,q_learning,1355.2653061224562,"{'avg_cooperate': 10.980791005534108, 'avg_defect': 6.553541047764856}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.406787499212864, 'defect': 19.66062314329457}, (0.8,): {'cooperate': 6.247830415348643, 'defect': 0.0}}"
ChrisSmallWorld_GTFT_vs_QLP,7,1,q_learning,1370.6938775510284,"{'avg_cooperate': 10.935968175645167, 'avg_defect': 7.791349035735556}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.433339745883774, 'defect': 23.374047107206668}, (0.8,): {'cooperate': 6.086809679010914, 'defect': 0.0}}"
ChrisSmallWorld_GTFT_vs_QLP,7,2,q_learning,1374.7551020408243,"{'avg_cooperate': 10.916518502177702, 'avg_defect': 8.047133097115182}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.398799202336377, 'defect': 24.141399291345547}, (0.8,): {'cooperate': 6.063001202155915, 'defect': 0.0}}"
ChrisSmallWorld_GTFT_vs_QLP,7,3,q_learning,1370.4285714285795,"{'avg_cooperate': 10.812062166256036, 'avg_defect': 8.216637550069008}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.441538140215144, 'defect': 23.876940100375595}, (0.8,): {'cooperate': 5.7068932565121475, 'defect': 0.7729725498314285}}"
ChrisSmallWorld_GTFT_vs_QLP,7,4,q_learning,2238.3061224489934,"{'avg_cooperate': 11.216633213381122, 'avg_defect': 15.280388742231374}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 28.97992039531862, 'defect': 45.84116622669412}, (0.8,): {'cooperate': 4.382224142783935, 'defect': 0.0}}"
ChrisSmallWorld_GTFT_vs_QLP,7,5,q_learning,1382.3265306122532,"{'avg_cooperate': 10.795412144857572, 'avg_defect': 8.819047516556056}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.395177249528892, 'defect': 25.0480443778545}, (0.8,): {'cooperate': 5.70330408300301, 'defect': 1.4090981718136681}}"
ChrisSmallWorld_GTFT_vs_QLP,7,6,q_learning,1390.1836734693957,"{'avg_cooperate': 10.887421901050116, 'avg_defect': 8.669130631093111}","{'initial': {'cooperate': 0.0, 'defect': 0.49183673469387756}, (1.0,): {'cooperate': 26.4144352878017, 'defect': 25.515555158585457}, (0.8,): {'cooperate': 6.247830415348643, 'defect': 0.0}}"
ChrisSmallWorld_GTFT_vs_QLP,7,7,q_learning,1367.0816326530692,"{'avg_cooperate': 10.853532905792667, 'avg_defect': 7.9042552748446715}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.380249562975827, 'defect': 23.056729227308708}, (0.8,): {'cooperate': 5.892594052361357, 'defect': 0.6560365972253073}}"
ChrisSmallWorld_GTFT_vs_QLP,7,8,q_learning,1388.4693877551106,"{'avg_cooperate': 10.970091025721205, 'avg_defect': 8.415639781322785}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.37468755977416, 'defect': 25.246919343968354}, (0.8,): {'cooperate': 6.247830415348643, 'defect': 0.0}}"
ChrisSmallWorld_GTFT_vs_QLP,7,9,q_learning,1366.6530612244972,"{'avg_cooperate': 10.80213608640605, 'avg_defect': 7.947448237260453}","{'initial': {'cooperate': 0.28775510204081634, 'defect': 0.0}, (1.0,): {'cooperate': 26.45294436380399, 'defect': 22.146827064673786}, (0.8,): {'cooperate': 5.6657087933733425, 'defect': 1.6955176471075726}}"
