scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_ScaleFree,12,0,ucb1_q,509.82758620689646,"{'avg_cooperate': 0.14228853749897588, 'avg_defect': 2.5939898264970567}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.4,): {'cooperate': 0.25198788775862074, 'defect': 1.444177310296164}, (0.6,): {'cooperate': 0.1596949307586207, 'defect': 1.1061211215657905}, (0.8,): {'cooperate': 0.06726763448275863, 'defect': 0.31063655172413795}, (0.2,): {'cooperate': 0.23249223449487935, 'defect': 9.967634838554362}}"
UCB1_ScaleFree,12,1,ucb1_q,507.06896551724117,"{'avg_cooperate': 0.12752668158952052, 'avg_defect': 2.6156511033513867}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.6,): {'cooperate': 0.15449260065517242, 'defect': 1.956895007412509}, (0.8,): {'cooperate': 0.08663482758620691, 'defect': 0.2951379310344828}, (0.4,): {'cooperate': 0.21329200386103453, 'defect': 0.7191775138506898}, (0.2,): {'cooperate': 0.1832139758451887, 'defect': 9.965665754114426}}"
UCB1_ScaleFree,12,2,ucb1_q,497.4137931034483,"{'avg_cooperate': 0.06708343672189655, 'avg_defect': 1.857466892692801}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.2,): {'cooperate': 0.2361026946072414, 'defect': 9.92200502093129}, (1.0,): {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.8,): {'cooperate': 0.021827586206896555, 'defect': 0.26768965517241383}, (0.4,): {'cooperate': 0.11353585675862071, 'defect': 0.6266770248806897}, (0.6,): {'cooperate': 0.020689655172413793, 'defect': 0.21463655172413795}}"
UCB1_ScaleFree,12,3,ucb1_q,523.6896551724133,"{'avg_cooperate': 0.17981662233103451, 'avg_defect': 2.9370679097260446}","{'initial': {'cooperate': 0.0, 'defect': 0.18275862068965518}, (0.6,): {'cooperate': 0.24173430000000004, 'defect': 1.364735658065598}, (0.8,): {'cooperate': 0.23537980344827591, 'defect': 0.7332522172413795}, (0.4,): {'cooperate': 0.2751836323448276, 'defect': 2.367363873726793}, (0.2,): {'cooperate': 0.146785375862069, 'defect': 10.037229178906797}}"
UCB1_ScaleFree,12,4,ucb1_q,549.4482758620682,"{'avg_cooperate': 0.19284736153073104, 'avg_defect': 2.896846683723075}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (0.8,): {'cooperate': 0.28424049310344834, 'defect': 1.7297044522006435}, (0.6,): {'cooperate': 0.30834041762068964, 'defect': 2.4804393927784463}, (1.0,): {'cooperate': 0.07727586206896553, 'defect': 0.3500344827586207}, (0.4,): {'cooperate': 0.19898181072413795, 'defect': 2.5276916835011143}, (0.2,): {'cooperate': 0.20548696497748972, 'defect': 10.293210091099628}}"
UCB1_ScaleFree,12,5,ucb1_q,528.6896551724133,"{'avg_cooperate': 0.18715411546450456, 'avg_defect': 2.752132106651758}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (0.6,): {'cooperate': 0.22956191379310348, 'defect': 1.0661789877880863}, (0.4,): {'cooperate': 0.26394530689655177, 'defect': 2.077475273655579}, (0.8,): {'cooperate': 0.1100141379310345, 'defect': 0.47453137931034484}, (0.2,): {'cooperate': 0.2805250807707985, 'defect': 10.14247489250478}}"
UCB1_ScaleFree,12,6,ucb1_q,491.8965517241379,"{'avg_cooperate': 0.08669789529282, 'avg_defect': 2.3749717973994637}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.8,): {'cooperate': 0.14333367260380347, 'defect': 0.6649664657127587}, (0.2,): {'cooperate': 0.13772881046960692, 'defect': 9.911366268060156}, (0.4,): {'cooperate': 0.13173733821827588, 'defect': 1.1985262532244036}, (1.0,): {'cooperate': 0.0, 'defect': 0.1}}"
UCB1_ScaleFree,12,7,ucb1_q,492.8275862068965,"{'avg_cooperate': 0.08101511010727826, 'avg_defect': 1.9961699945161506}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.4,): {'cooperate': 0.17165461324034484, 'defect': 0.8385427027250335}, (0.6,): {'cooperate': 0.13404853194307637, 'defect': 0.7734600418772882}, (0.8,): {'cooperate': 0.020586206896551724, 'defect': 0.226448275862069}, (0.2,): {'cooperate': 0.15980130856369656, 'defect': 9.910982739735962}, (1.0,): {'cooperate': 0.0, 'defect': 0.11379310344827587}}"
UCB1_ScaleFree,12,8,ucb1_q,492.2068965517241,"{'avg_cooperate': 0.08468856272072328, 'avg_defect': 2.8340951183235346}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.6,): {'cooperate': 0.1610118546196552, 'defect': 1.0078697698456192}, (1.0,): {'cooperate': 0.051385995620689656, 'defect': 0.29792250689655175}, (0.2,): {'cooperate': 0.1263564006425483, 'defect': 9.916795093103692}}"
UCB1_ScaleFree,12,9,ucb1_q,493.2413793103448,"{'avg_cooperate': 0.07253384896087808, 'avg_defect': 2.8828487700262913}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.6,): {'cooperate': 0.11802835555151381, 'defect': 1.2749412496127905}, (0.2,): {'cooperate': 0.1331991092575158, 'defect': 9.91621245118203}, (1.0,): {'cooperate': 0.03890793103448277, 'defect': 0.226448275862069}}"
UCB1_ScaleFree,12,10,ucb1_q,492.82758620689657,"{'avg_cooperate': 0.07877740093448536, 'avg_defect': 2.8182355370849703}","{'initial': {'cooperate': 0.0, 'defect': 0.1}, (0.2,): {'cooperate': 0.14953602122793108, 'defect': 9.917940112258554}, (1.0,): {'cooperate': 0.02854467931034483, 'defect': 0.32537078275862075}, (0.6,): {'cooperate': 0.13702890319966554, 'defect': 0.9296312533227074}}"
UCB1_ScaleFree,12,11,ucb1_q,493.17241379310343,"{'avg_cooperate': 0.0709108215528031, 'avg_defect': 2.870003463505659}","{'initial': {'cooperate': 0.0, 'defect': 0.1}, (0.2,): {'cooperate': 0.13831246384862073, 'defect': 9.916542164993762}, (1.0,): {'cooperate': 0.029761231034482763, 'defect': 0.32495974827586216}, (0.6,): {'cooperate': 0.11556959132810889, 'defect': 1.1385119407530113}}"
UCB1_ScaleFree,12,12,ucb1_q,492.0,"{'avg_cooperate': 0.07632916658540968, 'avg_defect': 1.9936885322460212}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.6,): {'cooperate': 0.12098678275862071, 'defect': 0.3655631034482759}, (0.4,): {'cooperate': 0.15049207225903688, 'defect': 1.2615338065911084}, (0.8,): {'cooperate': 0.02849275862068966, 'defect': 0.3243203448275862}, (0.2,): {'cooperate': 0.13731373070169706, 'defect': 9.910713938609156}, (1.0,): {'cooperate': 0.0, 'defect': 0.1}}"
UCB1_ScaleFree,12,13,ucb1_q,492.65517241379314,"{'avg_cooperate': 0.08033338996349276, 'avg_defect': 2.8100339401665506}","{'initial': {'cooperate': 0.0, 'defect': 0.1}, (0.2,): {'cooperate': 0.14953602122793108, 'defect': 9.917959638210522}, (1.0,): {'cooperate': 0.04925275862068966, 'defect': 0.226448275862069}, (0.6,): {'cooperate': 0.12254478000535027, 'defect': 0.9957278465936122}}"
UCB1_ScaleFree,12,14,ucb1_q,505.6896551724135,"{'avg_cooperate': 0.11603111471086208, 'avg_defect': 2.2607747307076447}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.6,): {'cooperate': 0.1636295275862069, 'defect': 1.5103031372440865}, (0.4,): {'cooperate': 0.15369708620689657, 'defect': 1.4000353795945508}, (0.8,): {'cooperate': 0.14874228341379314, 'defect': 0.6812430144072416}, (1.0,): {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.2,): {'cooperate': 0.15770399795482762, 'defect': 9.97306685299999}}"
