scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
LRAQ_MemEnh_Len_1,16,0,lra_q,342.517241379311,"{'avg_cooperate': 2.822741657187112, 'avg_defect': 3.5760555239140026}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.487819636366483, 'defect': 3.905939851234582}, (1, 1, 1): {'cooperate': 10.42808409083247, 'defect': 11.060935297311028}, (0, 1, 2): {'cooperate': 1.1303158927731771, 'defect': 0.023159024561325927}, (0, 1, 1): {'cooperate': 5.060424211713227, 'defect': 9.424826848797867}, (1, 1, 0): {'cooperate': 0.7260938001165089, 'defect': 0.0}, (0, 1, 0): {'cooperate': 0.8643850029906778, 'defect': 0.6175276454932159}}"
LRAQ_MemEnh_Len_1,16,1,lra_q,524.8275862068955,"{'avg_cooperate': 4.324300621551125, 'avg_defect': 5.460598964767738}","{'initial': {'cooperate': 0.12413793103448277, 'defect': 0.0}, (1, 1, 2): {'cooperate': 3.1676811042484685, 'defect': 0.0}, (1, 1, 1): {'cooperate': 11.288385937943914, 'defect': 12.150175522160596}, (0, 1, 1): {'cooperate': 6.382272952458417, 'defect': 11.675865958254848}, (0, 1, 2): {'cooperate': 2.3715343811979546, 'defect': 0.0}, (1, 1, 0): {'cooperate': 0.9499345681525033, 'defect': 2.765604067737762}, (0, 1, 0): {'cooperate': 5.986157475822132, 'defect': 11.632547205220956}}"
LRAQ_MemEnh_Len_1,16,2,lra_q,482.31034482758497,"{'avg_cooperate': 2.3772072596861284, 'avg_defect': 4.748488165023113}","{'initial': {'cooperate': 0.10344827586206898, 'defect': 0.0}, (1, 1, 2): {'cooperate': 0.15000000000000002, 'defect': 7.474288423627277}, (0, 1, 2): {'cooperate': 1.4471888863193032, 'defect': 0.18856205942602441}, (0, 1, 1): {'cooperate': 6.186276431192519, 'defect': 10.829780517854527}, (1, 1, 1): {'cooperate': 3.549856849473608, 'defect': 6.185874813695284}, (1, 1, 0): {'cooperate': 1.2781483661058124, 'defect': 0.3791685189247504}, (0, 1, 0): {'cooperate': 3.925532008849589, 'defect': 8.181742821633934}}"
LRAQ_MemEnh_Len_1,16,3,lra_q,363.06896551724105,"{'avg_cooperate': 2.7379831018966283, 'avg_defect': 5.188609416603893}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 5.192902082621993, 'defect': 9.000788227273762}, (1, 1, 1): {'cooperate': 1.719234062573903, 'defect': 8.68314473019914}, (0, 1, 2): {'cooperate': 4.909607663262132, 'defect': 9.187036650740092}, (0, 1, 1): {'cooperate': 1.5185025306668771, 'defect': 0.46018521095916576}, (0, 1, 0): {'cooperate': 1.564028456422002, 'defect': 1.2002684972004545}, (1, 1, 0): {'cooperate': 4.199537952212249, 'defect': 7.7888425998546325}}"
LRAQ_MemEnh_Len_1,16,4,lra_q,465.06896551724026,"{'avg_cooperate': 3.569732919029971, 'avg_defect': 4.815966221353442}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 1): {'cooperate': 10.077163650824364, 'defect': 12.837544451799559}, (1, 1, 2): {'cooperate': 4.9853749197926325, 'defect': 6.959116287980951}, (0, 1, 2): {'cooperate': 2.1872417811993294, 'defect': 0.0}, (0, 1, 1): {'cooperate': 4.788094287773165, 'defect': 11.810506845099916}, (0, 1, 0): {'cooperate': 1.7827321311587874, 'defect': 1.2880117067895325}, (1, 1, 0): {'cooperate': 1.0847650417718617, 'defect': 0.8165842578041363}}"
LRAQ_MemEnh_Len_1,16,5,lra_q,328.7586206896547,"{'avg_cooperate': 2.5123997186876323, 'avg_defect': 3.2809422152393073}","{'initial': {'cooperate': 0.0, 'defect': 0.0706896551724138}, (0, 1, 2): {'cooperate': 1.1736778092592128, 'defect': 0.2671652661091096}, (1, 1, 2): {'cooperate': 1.5079738698824612, 'defect': 1.043205104476327}, (1, 1, 1): {'cooperate': 7.409738085959546, 'defect': 10.416336911293067}, (1, 1, 0): {'cooperate': 5.386798280370073, 'defect': 10.513878129644361}, (0, 1, 1): {'cooperate': 1.1718129683747802, 'defect': 0.15475757957757605}, (0, 1, 0): {'cooperate': 0.9367970169673543, 'defect': 0.5005628604022943}}"
LRAQ_MemEnh_Len_1,16,6,lra_q,380.93103448275826,"{'avg_cooperate': 2.7099041965131194, 'avg_defect': 5.586645075337449}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 5.743742552697029, 'defect': 7.882511789625999}, (1, 1, 1): {'cooperate': 2.11319315208208, 'defect': 11.329481987193272}, (1, 1, 0): {'cooperate': 1.3926345855611029, 'defect': 0.11892775847504031}, (0, 1, 1): {'cooperate': 3.0341621534540457, 'defect': 9.447164957051376}, (0, 1, 0): {'cooperate': 4.890942225584619, 'defect': 10.328429035016454}, (0, 1, 2): {'cooperate': 1.732585740695717, 'defect': 0.0}}"
LRAQ_MemEnh_Len_1,16,7,lra_q,298.6896551724136,"{'avg_cooperate': 3.7168701228753633, 'avg_defect': 5.524338211163795}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1, 1, 2): {'cooperate': 10.267947946317191, 'defect': 11.860748121633268}, (1, 1, 1): {'cooperate': 5.8798936148084735, 'defect': 10.321012273419107}, (1, 1, 0): {'cooperate': 4.082939009184665, 'defect': 9.39450530854527}, (0, 1, 0): {'cooperate': 1.0518377327775563, 'defect': 1.0039842988522771}, (0, 1, 1): {'cooperate': 3.374158448396926, 'defect': 5.950449638172709}, (0, 1, 2): {'cooperate': 1.2785554879530796, 'defect': 0.139667837523939}}"
LRAQ_MemEnh_Len_1,16,8,lra_q,391.9310344827576,"{'avg_cooperate': 2.4718854555490566, 'avg_defect': 5.674323178961393}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 6.115678714587901, 'defect': 8.680121739018398}, (0, 1, 2): {'cooperate': 3.1056136427660466, 'defect': 6.985117425727806}, (0, 1, 1): {'cooperate': 4.831618213423113, 'defect': 10.127079076600586}, (0, 1, 0): {'cooperate': 0.7633858788508816, 'defect': 5.084581595449798}, (1, 1, 0): {'cooperate': 0.7185597182576524, 'defect': 2.5646237334360027}, (1, 1, 1): {'cooperate': 1.7062730554405632, 'defect': 6.278738682497155}}"
LRAQ_MemEnh_Len_1,16,9,lra_q,426.34482758620624,"{'avg_cooperate': 3.5194258405396313, 'avg_defect': 4.223331990852795}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1, 1, 2): {'cooperate': 1.239917784694372, 'defect': 0.0}, (1, 1, 1): {'cooperate': 9.871019066268978, 'defect': 11.063963744349358}, (0, 1, 1): {'cooperate': 8.785609502641684, 'defect': 10.581028133358963}, (1, 1, 0): {'cooperate': 1.189956538192289, 'defect': 0.4232357582586003}, (0, 1, 0): {'cooperate': 3.2244622126697524, 'defect': 7.495096300002647}, (0, 1, 2): {'cooperate': 0.26294681379310325, 'defect': 0.0}}"
