scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Pairwise_Memory_Enhanced,4,0,lra_q,543.5789473684209,"{'avg_cooperate': 17.92742162499372, 'avg_defect': 21.39977672972785}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 43.01497262947035, 'defect': 63.818360145482}, (1, 1, 1): {'cooperate': 26.331127829658254, 'defect': 21.99550844112497}, (0, 1, 2): {'cooperate': 17.72449404988706, 'defect': 38.810195733416755}, (1, 0, 2): {'cooperate': 26.534498782270713, 'defect': 22.157707731696032}, (1, 0, 1): {'cooperate': 12.087612129123904, 'defect': 13.43623858599242}, (0, 0, 2): {'cooperate': 18.12150526600712, 'defect': 13.27153210281758}, (0, 1, 1): {'cooperate': 7.572943391447368, 'defect': 19.108447827020875}, (0, 0, 1): {'cooperate': 9.422798441815532, 'defect': 0.0}}"
Pairwise_Memory_Enhanced,4,1,lra_q,570.7894736842102,"{'avg_cooperate': 23.961253023502252, 'avg_defect': 16.351866175591237}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 64.70052661318937, 'defect': 68.45572869475308}, (0, 1, 2): {'cooperate': 35.73491442017327, 'defect': 35.10881469673363}, (1, 0, 2): {'cooperate': 40.17528812838231, 'defect': 43.60225218883441}, (1, 1, 1): {'cooperate': 19.628413304510197, 'defect': 0.0}, (0, 0, 2): {'cooperate': 4.288229999999999, 'defect': 0.0}, (0, 1, 1): {'cooperate': 27.59042493936304, 'defect': 0.0}, (1, 0, 1): {'cooperate': 21.07347980590209, 'defect': 0.0}, (0, 0, 1): {'cooperate': 1.9231578947368417, 'defect': 0.0}}"
Pairwise_Memory_Enhanced,4,2,lra_q,568.2631578947365,"{'avg_cooperate': 23.858202234049468, 'avg_defect': 20.682988913714183}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 40.898177027675125, 'defect': 44.35550104855125}, (0, 1, 2): {'cooperate': 36.66355022107104, 'defect': 26.80837767267182}, (1, 0, 2): {'cooperate': 56.74931948886128, 'defect': 66.53630136101826}, (1, 1, 1): {'cooperate': 7.418611231578948, 'defect': 27.763731227472135}, (0, 1, 1): {'cooperate': 29.330432667379444, 'defect': 0.0}, (1, 0, 1): {'cooperate': 17.208158814777242, 'defect': 0.0}, (0, 0, 2): {'cooperate': 2.060526315789473, 'defect': 0.0}}"
Pairwise_Memory_Enhanced,4,3,lra_q,637.6842105263152,"{'avg_cooperate': 18.965017475074475, 'avg_defect': 19.964980322805204}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 38.64901681793266, 'defect': 60.65498755108061}, (0, 1, 2): {'cooperate': 42.47954118615228, 'defect': 48.39745222123567}, (1, 0, 2): {'cooperate': 35.43047763857444, 'defect': 47.26618843001588}, (0, 1, 1): {'cooperate': 15.835083167969568, 'defect': 0.0}, (1, 0, 1): {'cooperate': 7.1448007787319066, 'defect': 0.0}, (1, 1, 1): {'cooperate': 8.628655310526316, 'defect': 0.0}, (0, 0, 2): {'cooperate': 13.569688119401668, 'defect': 23.265850249230493}, (0, 0, 1): {'cooperate': 8.411052151118307, 'defect': 0.10034445368419405}}"
Pairwise_Memory_Enhanced,4,4,lra_q,606.4210526315783,"{'avg_cooperate': 22.073202786197655, 'avg_defect': 18.866716523245405}","{'initial': {'cooperate': 0.0, 'defect': 0.23947368421052628}, (0, 1, 2): {'cooperate': 37.40092326243798, 'defect': 0.0}, (1, 0, 2): {'cooperate': 50.67689695999023, 'defect': 63.45321556895399}, (1, 1, 2): {'cooperate': 54.04548928603419, 'defect': 58.62186498964886}, (1, 0, 1): {'cooperate': 18.626538990533014, 'defect': 0.0}, (1, 1, 1): {'cooperate': 4.031526315789473, 'defect': 0.0}, (0, 1, 1): {'cooperate': 6.93863052631579, 'defect': 47.48589446639525}, (0, 0, 2): {'cooperate': 24.551451313625588, 'defect': 0.0}, (0, 0, 1): {'cooperate': 2.387368421052631, 'defect': 0.0}}"
Pairwise_Memory_Enhanced,4,5,lra_q,605.8421052631576,"{'avg_cooperate': 26.99546059177056, 'avg_defect': 21.33894038078491}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 61.98056538971636, 'defect': 65.97798766414779}, (0, 1, 2): {'cooperate': 51.9259987983035, 'defect': 56.15006226214632}, (1, 0, 2): {'cooperate': 37.208519375586505, 'defect': 20.349817481098114}, (0, 0, 2): {'cooperate': 31.880090006016175, 'defect': 17.196116194737257}, (0, 1, 1): {'cooperate': 22.584355980545453, 'defect': 16.199670499824833}, (0, 0, 1): {'cooperate': 6.167673966315788, 'defect': 0.0}, (1, 1, 1): {'cooperate': 18.279238587542803, 'defect': 16.17680932510984}, (1, 0, 1): {'cooperate': 12.395861116645262, 'defect': 0.0}}"
Pairwise_Memory_Enhanced,4,6,lra_q,598.3157894736834,"{'avg_cooperate': 25.007134061605054, 'avg_defect': 26.408144208905014}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 41.67742081503011, 'defect': 46.02267906374267}, (0, 1, 2): {'cooperate': 38.296406295694084, 'defect': 39.49110313336709}, (1, 0, 2): {'cooperate': 57.940520736131674, 'defect': 69.47129525337057}, (1, 1, 1): {'cooperate': 4.729263157894736, 'defect': 0.0}, (0, 1, 1): {'cooperate': 31.72861414960246, 'defect': 26.482450185299147}, (0, 0, 2): {'cooperate': 5.779210873026314, 'defect': 0.0}, (1, 0, 1): {'cooperate': 19.36879436019791, 'defect': 29.79762603546065}}"
Pairwise_Memory_Enhanced,4,7,lra_q,624.1052631578938,"{'avg_cooperate': 19.67023943941545, 'avg_defect': 24.18567729239058}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 32.35531165213172, 'defect': 54.02005771100187}, (0, 1, 2): {'cooperate': 38.47600181573104, 'defect': 28.181703459112885}, (1, 0, 2): {'cooperate': 50.644438442118826, 'defect': 66.05685369409886}, (1, 1, 1): {'cooperate': 4.302947368421052, 'defect': 0.0}, (0, 1, 1): {'cooperate': 7.191442894736841, 'defect': 47.584690217431366}, (0, 0, 2): {'cooperate': 27.043317541564278, 'defect': 15.32579423408078}, (1, 0, 1): {'cooperate': 16.481853134772123, 'defect': 0.0}, (0, 0, 1): {'cooperate': 0.0, 'defect': 6.501996315789471}}"
Pairwise_Memory_Enhanced,4,8,lra_q,658.2105263157885,"{'avg_cooperate': 20.603852115594417, 'avg_defect': 27.070423571154702}","{'initial': {'cooperate': 0.0, 'defect': 0.23947368421052628}, (0, 1, 2): {'cooperate': 47.74029267932557, 'defect': 58.29122607368661}, (0, 0, 2): {'cooperate': 34.318857123113204, 'defect': 28.60894913670546}, (1, 0, 2): {'cooperate': 51.41917632911599, 'defect': 57.50709569557918}, (1, 1, 2): {'cooperate': 12.472819664337823, 'defect': 52.86934314618593}, (1, 1, 1): {'cooperate': 5.000684210526315, 'defect': 0.0}, (0, 0, 1): {'cooperate': 15.491188170534198, 'defect': 7.428777233684207}, (0, 1, 1): {'cooperate': 16.71796665287029, 'defect': 16.862930435894313}, (1, 0, 1): {'cooperate': 2.2736842105263158, 'defect': 21.826016734446117}}"
Pairwise_Memory_Enhanced,4,9,lra_q,583.2105263157891,"{'avg_cooperate': 23.36933606205018, 'avg_defect': 13.75070306158889}","{'initial': {'cooperate': 0.5368421052631579, 'defect': 0.0}, (1, 1, 2): {'cooperate': 58.96324977511478, 'defect': 67.75522089105532}, (0, 1, 2): {'cooperate': 35.7327014894893, 'defect': 22.822800079556295}, (1, 0, 2): {'cooperate': 36.320248354690634, 'defect': 33.17830658368839}, (0, 0, 2): {'cooperate': 11.404804227801229, 'defect': 0.0}, (0, 1, 1): {'cooperate': 26.86744576497621, 'defect': 0.0}, (0, 0, 1): {'cooperate': 2.197894736842105, 'defect': 0.0}, (1, 0, 1): {'cooperate': 23.178529682736098, 'defect': 0.0}, (1, 1, 1): {'cooperate': 15.122308421538087, 'defect': 0.0}}"
Pairwise_Memory_Enhanced,4,10,hysteretic_q,475.94736842105243,"{'avg_cooperate': 4.253774638393245, 'avg_defect': 1.8086638169203484}","{'initial': {'cooperate': 0.26842105263157895, 'defect': 0.0}, (1, 1, 2): {'cooperate': 20.162053742548153, 'defect': 12.006530804485113}, (1, 1, 1): {'cooperate': 8.262433315946067, 'defect': 1.4667997913083815}, (0, 1, 2): {'cooperate': 1.7210592343489486, 'defect': 0.4396018421052632}, (1, 0, 2): {'cooperate': 1.701486898513319, 'defect': 0.5563780974640284}, (0, 1, 1): {'cooperate': 0.971393652631579, 'defect': 0.0}, (1, 0, 1): {'cooperate': 0.7222965789473685, 'defect': 0.0}, (0, 0, 2): {'cooperate': 0.22105263157894736, 'defect': 0.0}}"
