scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
LRA_vs_Standard_QL,0,lra_q,1360.5862068965534,"{'avg_cooperate': 15.827974863981202, 'avg_defect': 17.144759416028748}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 14.568962138857781, 'defect': 22.74969246813972}, (0.8,): {'cooperate': 28.760190357279942, 'defect': 29.467002236417525}, (0.6,): {'cooperate': 19.166559844742086, 'defect': 20.484122917350494}, (0.4,): {'cooperate': 19.006340558608326, 'defect': 20.782386375838602}, (0.2,): {'cooperate': 12.865796284399064, 'defect': 9.385352498426156}}"
LRA_vs_Standard_QL,1,lra_q,1332.0000000000014,"{'avg_cooperate': 14.509112384090011, 'avg_defect': 15.337174655303587}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 15.114740028349765, 'defect': 16.88997679969429}, (0.8,): {'cooperate': 24.688324046089825, 'defect': 27.616624727348253}, (0.6,): {'cooperate': 20.498540746648132, 'defect': 21.06622420076463}, (0.4,): {'cooperate': 18.81819004044735, 'defect': 22.940383699097058}, (0.2,): {'cooperate': 7.334879443004988, 'defect': 3.5098385049172927}}"
LRA_vs_Standard_QL,2,lra_q,1318.4827586206898,"{'avg_cooperate': 15.520592296442077, 'avg_defect': 11.348671957775508}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 13.997186107361177, 'defect': 0.0}, (0.8,): {'cooperate': 27.082158998932737, 'defect': 28.46397733413671}, (0.6,): {'cooperate': 19.065588484504083, 'defect': 21.033856676679505}, (0.4,): {'cooperate': 17.979126676642224, 'defect': 18.594197735836836}, (0.2,): {'cooperate': 14.399493511212244, 'defect': 0.0}}"
LRA_vs_Standard_QL,3,lra_q,1397.206896551725,"{'avg_cooperate': 12.331098148489838, 'avg_defect': 13.466690398186612}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 12.52760432561217, 'defect': 16.34604606371996}, (0.8,): {'cooperate': 30.05283875800816, 'defect': 30.9336862118949}, (0.6,): {'cooperate': 21.93269503986516, 'defect': 24.198951336974112}, (0.4,): {'cooperate': 5.073804427340586, 'defect': 8.692628049826778}, (0.2,): {'cooperate': 3.799646340112944, 'defect': 0.6288307267039165}}"
LRA_vs_Standard_QL,4,lra_q,1380.5172413793114,"{'avg_cooperate': 14.644818167283686, 'avg_defect': 15.832292268244352}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 20.42088648555853, 'defect': 24.14105375977846}, (0.8,): {'cooperate': 24.551894474834384, 'defect': 27.62626388361643}, (0.6,): {'cooperate': 23.57024597541327, 'defect': 23.71869697822233}, (0.4,): {'cooperate': 14.916758219752298, 'defect': 19.089388924654415}, (0.2,): {'cooperate': 3.8091238481436283, 'defect': 0.41835006319448265}}"
LRA_vs_Standard_QL,5,lra_q,1387.310344827588,"{'avg_cooperate': 13.167549423195391, 'avg_defect': 15.668859817763371}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 13.091647681716111, 'defect': 18.464723444473048}, (0.8,): {'cooperate': 26.164135509301087, 'defect': 28.153658043797677}, (0.6,): {'cooperate': 20.46260587565255, 'defect': 20.76783951681194}, (0.4,): {'cooperate': 14.834717774431251, 'defect': 18.257019201682745}, (0.2,): {'cooperate': 3.8521896980713564, 'defect': 8.369918699814828}}"
LRA_vs_Standard_QL,6,lra_q,1422.758620689656,"{'avg_cooperate': 13.237025052916373, 'avg_defect': 14.157182422330814}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 12.823963441691763, 'defect': 7.166775496632908}, (0.8,): {'cooperate': 27.71030495154492, 'defect': 29.597609813195334}, (0.6,): {'cooperate': 22.498520823058204, 'defect': 22.50303006633793}, (0.4,): {'cooperate': 14.677221115786523, 'defect': 23.098653589713788}, (0.2,): {'cooperate': 1.1121399854168277, 'defect': 2.5770255681049328}}"
LRA_vs_Standard_QL,7,lra_q,1352.586206896554,"{'avg_cooperate': 13.182965617745497, 'avg_defect': 16.662086444454754}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 5.349480305393875, 'defect': 25.191201875299974}, (0.8,): {'cooperate': 28.320038758937855, 'defect': 29.017394127255326}, (0.6,): {'cooperate': 20.94328414450787, 'defect': 22.109156286251597}, (0.4,): {'cooperate': 14.908410280610727, 'defect': 18.809404396345187}, (0.2,): {'cooperate': 8.976580217022658, 'defect': 4.845361981576426}}"
LRA_vs_Standard_QL,8,lra_q,1306.5172413793111,"{'avg_cooperate': 15.443218991866638, 'avg_defect': 17.283479479467886}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 17.24723622435509, 'defect': 22.79971593464579}, (0.8,): {'cooperate': 25.935285132223026, 'defect': 27.14095497205796}, (0.6,): {'cooperate': 18.641859371910446, 'defect': 20.976130464408893}, (0.4,): {'cooperate': 16.151136670279616, 'defect': 22.61049496248077}, (0.2,): {'cooperate': 14.083796552431657, 'defect': 10.173580543213895}}"
LRA_vs_Standard_QL,9,lra_q,1413.44827586207,"{'avg_cooperate': 10.55081204760774, 'avg_defect': 12.746203087609915}","{'initial': {'cooperate': 0.6000000000000001, 'defect': 0.0}, (1.0,): {'cooperate': 6.899043134693799, 'defect': 19.204414967606215}, (0.8,): {'cooperate': 21.830687374441585, 'defect': 24.60433497263674}, (0.6,): {'cooperate': 25.517923208068034, 'defect': 26.013787361492177}, (0.4,): {'cooperate': 2.637901748442843, 'defect': 6.654681223924362}, (0.2,): {'cooperate': 5.819316820000191, 'defect': 0.0}}"
