scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,0,hysteretic_q,1439.6896551724215,"{'avg_cooperate': 5.054369701469617, 'avg_defect': 2.2370768847878133}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.46728441533195, 'defect': 8.488756597418236}, (0.4,): {'cooperate': 5.057040369715416, 'defect': 0.45955094173301714}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,1,hysteretic_q,1469.7931034482833,"{'avg_cooperate': 4.93157392252135, 'avg_defect': 3.1776756296724624}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.1496637931034483, 'defect': 1.0851789287009306}, (0.6,): {'cooperate': 14.453955833463072, 'defect': 10.113835874495102}, (0.4,): {'cooperate': 5.024400201449913, 'defect': 1.511687715493817}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,2,hysteretic_q,1447.6206896551796,"{'avg_cooperate': 5.048537133249571, 'avg_defect': 2.581878272279352}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.449359679156453, 'defect': 9.142157621886616}, (0.4,): {'cooperate': 5.051634833010731, 'defect': 1.1853554672307915}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,3,hysteretic_q,1455.482758620697,"{'avg_cooperate': 5.072459443238614, 'avg_defect': 2.831348495116767}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.6744587010392531, 'defect': 0.0}, (0.6,): {'cooperate': 14.440493202086726, 'defect': 10.722401491373638}, (0.4,): {'cooperate': 5.076610007759509, 'defect': 0.6029924890934286}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,4,hysteretic_q,1433.62068965518,"{'avg_cooperate': 5.078028554265768, 'avg_defect': 1.8905284709847958}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.457154948079285, 'defect': 7.562113883939183}, (0.4,): {'cooperate': 5.161805248152686, 'defect': 0.0}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,5,hysteretic_q,1456.793103448283,"{'avg_cooperate': 5.0405572883148215, 'avg_defect': 2.8823205129209963}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.463154828673629, 'defect': 10.446061021135634}, (0.4,): {'cooperate': 5.005920303754555, 'defect': 1.0832210305483518}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,6,hysteretic_q,1449.8965517241459,"{'avg_cooperate': 5.07064514792155, 'avg_defect': 2.712427032555165}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.733538688783657, 'defect': 0.0}, (0.6,): {'cooperate': 14.424094090839795, 'defect': 10.66326157990748}, (0.4,): {'cooperate': 5.026671949993784, 'defect': 0.18644655031318008}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,7,hysteretic_q,1434.551724137938,"{'avg_cooperate': 5.063803815279268, 'avg_defect': 1.9915983014123964}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.479663745675582, 'defect': 7.048673542906568}, (0.4,): {'cooperate': 5.08239749461039, 'defect': 0.917719662743018}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,8,hysteretic_q,1450.482758620697,"{'avg_cooperate': 5.047691535888925, 'avg_defect': 2.6810199217997472}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.453358210857685, 'defect': 9.915546638819084}, (0.4,): {'cooperate': 5.044253911866911, 'defect': 0.8085330483799048}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,9,hysteretic_q,1452.4482758620763,"{'avg_cooperate': 5.069742230814122, 'avg_defect': 2.677548139092332}","{'initial': {'cooperate': 0.09827586206896552, 'defect': 0.0}, (0.8,): {'cooperate': 0.5948781587621369, 'defect': 0.0}, (0.6,): {'cooperate': 14.441716292646035, 'defect': 9.890926377422982}, (0.4,): {'cooperate': 5.144098609779352, 'defect': 0.8192661789463473}}"
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,10,tit_for_tat,2249.4827586206875,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,11,tit_for_tat,2211.999999999998,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,12,tit_for_tat,2239.3448275862024,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,13,tit_for_tat,2199.275862068964,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,14,tit_for_tat,2240.172413793103,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,15,tit_for_tat,2212.137931034483,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,16,tit_for_tat,2214.8620689655163,,
10xHysQ_vs_10xTFT_vs_10xalways_defect_FullyConnected,4,17,tit_for_tat,2206.06896551724,,
