scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Baseline_QL_PropDiscr,19,0,q_learning,585.3793103448253,"{'avg_cooperate': 2.2116589498290504, 'avg_defect': 4.467166754158622}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 5.410392211791932, 'defect': 13.081378598799159}, (0.6,): {'cooperate': 2.615107044353767, 'defect': 1.4305033832860563}, (0.8,): {'cooperate': 4.381511166761079, 'defect': 11.927670717508178}, (0.4,): {'cooperate': 0.759495000205455, 'defect': 0.36344782535834214}, (0.2,): {'cooperate': 0.041379310344827586, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,1,q_learning,179.41379310344854,"{'avg_cooperate': 0.9264566457947376, 'avg_defect': 1.1233054087996999}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 0.6110965217413702, 'defect': 0.32193553982071954}, (0.8,): {'cooperate': 2.2965976230238745, 'defect': 2.021905591225246}, (0.6,): {'cooperate': 2.1545550068772283, 'defect': 1.5299375658347558}, (0.4,): {'cooperate': 0.42407693002250424, 'defect': 2.866053755917478}, (0.2,): {'cooperate': 0.031034482758620693, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,2,q_learning,212.37931034482895,"{'avg_cooperate': 1.3695807271172191, 'avg_defect': 0.9499705714604438}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.8,): {'cooperate': 2.382565049877402, 'defect': 1.5545611677695699}, (1.0,): {'cooperate': 3.6964168985108268, 'defect': 3.1952916895326497}, (0.6,): {'cooperate': 0.6355727216806256, 'defect': 0.0}, (0.4,): {'cooperate': 0.1023144827586207, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,3,q_learning,312.62068965517295,"{'avg_cooperate': 1.4702949666632248, 'avg_defect': 1.6526355935036001}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 4.726448993612171, 'defect': 4.150717983350452}, (0.8,): {'cooperate': 2.6195237630846098, 'defect': 1.4465375348624958}, (0.6,): {'cooperate': 1.0636238639205011, 'defect': 4.318558042808652}, (0.4,): {'cooperate': 0.31906973108620307, 'defect': 0.0}, (0.2,): {'cooperate': 0.031034482758620693, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,4,q_learning,231.72413793103507,"{'avg_cooperate': 1.0935030566196793, 'avg_defect': 1.8722024479220223}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 3.412134604715538, 'defect': 7.387355010074663}, (0.8,): {'cooperate': 1.6328158891547555, 'defect': 0.7309441939345935}, (0.4,): {'cooperate': 0.34001306509017215, 'defect': 1.242713035600856}, (0.2,): {'cooperate': 0.05151724137931035, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,5,q_learning,310.344827586208,"{'avg_cooperate': 1.9087513763688464, 'avg_defect': 2.259243069235479}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 3.973296798827234, 'defect': 1.4104617571727016}, (0.8,): {'cooperate': 3.679410687649042, 'defect': 2.7015711243652536}, (0.6,): {'cooperate': 1.5790033207772236, 'defect': 7.18418246463944}, (0.4,): {'cooperate': 0.2603219366596966, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,6,q_learning,230.89655172413904,"{'avg_cooperate': 1.7626419220518537, 'avg_defect': 1.0097936975526098}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 3.1270453847757977, 'defect': 1.854536977795585}, (0.8,): {'cooperate': 3.4299763899252906, 'defect': 2.2443354230110155}, (0.6,): {'cooperate': 2.6418869038330244, 'defect': 1.7731728332977077}, (0.4,): {'cooperate': 0.9755201827062618, 'defect': 0.18671695121135062}, (0.2,): {'cooperate': 0.3393537055535064, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,7,q_learning,132.4482758620691,"{'avg_cooperate': 0.9983107785389682, 'avg_defect': 0.6507799442006962}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 1.8766928361407682, 'defect': 1.7247725334479578}, (0.8,): {'cooperate': 1.8796155090237372, 'defect': 0.9370295502319639}, (0.4,): {'cooperate': 1.0358177560698651, 'defect': 0.5920976373235596}, (0.2,): {'cooperate': 0.16839330870184976, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,8,q_learning,473.58620689655106,"{'avg_cooperate': 1.8297604792753688, 'avg_defect': 4.439629761129794}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 4.5024871250183125, 'defect': 10.66982142000456}, (0.8,): {'cooperate': 2.836715783081647, 'defect': 9.98546146588132}, (0.4,): {'cooperate': 1.6375147377323929, 'defect': 1.5428659197630887}, (0.2,): {'cooperate': 0.14105026778587243, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,9,q_learning,451.4827586206899,"{'avg_cooperate': 1.5870732619809482, 'avg_defect': 3.928136982816534}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 3.008053977708686, 'defect': 8.687330915867259}, (0.8,): {'cooperate': 2.482388620647997, 'defect': 1.4818188413640803}, (0.6,): {'cooperate': 3.8576773390462487, 'defect': 10.90682212287658}, (0.4,): {'cooperate': 0.10190584137931036, 'defect': 2.492850016791285}, (0.2,): {'cooperate': 0.031034482758620693, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,10,q_learning,279.44827586206964,"{'avg_cooperate': 1.4160950871573657, 'avg_defect': 2.425871382780012}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 1.4238706181523417, 'defect': 0.8398544903786238}, (0.8,): {'cooperate': 1.7741039878468878, 'defect': 1.2733180662544297}, (0.4,): {'cooperate': 3.760307829580702, 'defect': 10.016184357267006}, (0.2,): {'cooperate': 0.09115851744827587, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,11,q_learning,342.5517241379315,"{'avg_cooperate': 1.529385750213364, 'avg_defect': 2.370517259117826}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 3.787649019072739, 'defect': 11.199078062787212}, (0.8,): {'cooperate': 2.3482776159671053, 'defect': 1.7829428476178388}, (0.6,): {'cooperate': 2.158394763166987, 'defect': 1.056329519418738}, (0.4,): {'cooperate': 0.7992344823836975, 'defect': 0.18475312488316656}, (0.2,): {'cooperate': 0.041379310344827586, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,12,q_learning,203.06896551724256,"{'avg_cooperate': 1.617883894696811, 'avg_defect': 0.6128618103065793}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 2.423648065652694, 'defect': 0.6305626060052624}, (0.8,): {'cooperate': 2.978076832877573, 'defect': 1.012369336100107}, (0.6,): {'cooperate': 2.6723392990047268, 'defect': 1.8533490435144813}, (0.2,): {'cooperate': 0.27794244257933437, 'defect': 0.0}, (0.4,): {'cooperate': 1.3035725901355035, 'defect': 0.1808898762196252}}"
Baseline_QL_PropDiscr,19,13,q_learning,236.58620689655356,"{'avg_cooperate': 1.8452491787563043, 'avg_defect': 2.1450236460278616}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 3.3557062056506757, 'defect': 2.28555236307937}, (0.8,): {'cooperate': 2.9452783744579114, 'defect': 2.498418451630579}, (0.6,): {'cooperate': 1.0386328245718026, 'defect': 3.796123769401496}}"
Baseline_QL_PropDiscr,19,14,q_learning,423.0689655172413,"{'avg_cooperate': 2.0041568109289076, 'avg_defect': 4.054288129056044}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 3.817367997347914, 'defect': 9.51516914285418}, (0.8,): {'cooperate': 5.611747037928346, 'defect': 10.599612193606184}, (0.4,): {'cooperate': 0.539944881437246, 'defect': 0.15665930881985377}, (0.2,): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,15,q_learning,174.93103448275903,"{'avg_cooperate': 1.0784268907473316, 'avg_defect': 1.1651511243225838}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 0.6110884376441618, 'defect': 0.0}, (0.8,): {'cooperate': 2.384706672448387, 'defect': 2.773300684939076}, (0.6,): {'cooperate': 2.252645550540661, 'defect': 1.8744217390417106}, (0.4,): {'cooperate': 0.1023144827586207, 'defect': 1.178033197632133}}"
Baseline_QL_PropDiscr,19,16,q_learning,436.3103448275867,"{'avg_cooperate': 2.2021783506466113, 'avg_defect': 3.1534844528175476}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (1.0,): {'cooperate': 7.483873879002729, 'defect': 11.688837093539004}, (0.6,): {'cooperate': 1.089078548506304, 'defect': 0.7975145108346344}, (0.2,): {'cooperate': 0.2357609750774109, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,17,q_learning,184.89655172413845,"{'avg_cooperate': 1.0137788113862505, 'avg_defect': 1.2541734718681041}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.8,): {'cooperate': 2.35245338846815, 'defect': 1.4002869356552459}, (1.0,): {'cooperate': 1.207013808610795, 'defect': 1.145066316515794}, (0.6,): {'cooperate': 2.328275894579378, 'defect': 2.156364196763757}, (0.4,): {'cooperate': 0.1328608111419387, 'defect': 2.823323382273827}, (0.2,): {'cooperate': 0.031034482758620693, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,18,q_learning,249.2758620689661,"{'avg_cooperate': 1.5273128195690204, 'avg_defect': 2.7007962529175105}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.7000078327269407, 'defect': 0.1781592294690509}, (1.0,): {'cooperate': 1.670632756741787, 'defect': 1.4099681413754372}, (0.8,): {'cooperate': 3.728265861221147, 'defect': 9.215057640825554}}"
Baseline_QL_PropDiscr,19,19,q_learning,309.48275862069045,"{'avg_cooperate': 1.682170998277718, 'avg_defect': 2.1170615028114885}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 4.626951822340908, 'defect': 4.168073560239477}, (0.8,): {'cooperate': 3.2363749197685285, 'defect': 1.9080133761908775}, (0.4,): {'cooperate': 0.18322650000000001, 'defect': 0.0}, (0.6,): {'cooperate': 0.30223278376191054, 'defect': 4.509220577627088}}"
Baseline_QL_PropDiscr,19,20,q_learning,220.8275862068981,"{'avg_cooperate': 1.7116246148282686, 'avg_defect': 0.8910619212550012}","{'initial': {'cooperate': 0.0, 'defect': 0.16896551724137931}, (1.0,): {'cooperate': 2.703568199204864, 'defect': 1.5921142572259446}, (0.8,): {'cooperate': 3.244378968284251, 'defect': 2.4228467226932753}, (0.6,): {'cooperate': 2.990191248289067, 'defect': 0.9741350226611918}, (0.4,): {'cooperate': 1.1287070658810838, 'defect': 0.1883100077082156}, (0.2,): {'cooperate': 0.20290220731034486, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,21,q_learning,409.4482758620698,"{'avg_cooperate': 1.7089235226275217, 'avg_defect': 3.1640294575191126}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.8,): {'cooperate': 2.9597066710799265, 'defect': 2.784006222486572}, (1.0,): {'cooperate': 4.257038675017178, 'defect': 12.604347435023037}, (0.6,): {'cooperate': 1.134903152833608, 'defect': 0.43179363008595406}, (0.4,): {'cooperate': 0.16193463144827588, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,22,q_learning,260.1724137931048,"{'avg_cooperate': 1.142336023413869, 'avg_defect': 2.3112100678479037}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.6,): {'cooperate': 2.0807888273041897, 'defect': 1.3172792554532724}, (1.0,): {'cooperate': 0.6073161058461436, 'defect': 8.0933341912455}, (0.8,): {'cooperate': 2.627345874837322, 'defect': 1.9931731589137816}, (0.4,): {'cooperate': 0.37553965390927646, 'defect': 0.15226373362696555}}"
Baseline_QL_PropDiscr,19,23,q_learning,396.10344827586243,"{'avg_cooperate': 1.9446093426578175, 'avg_defect': 3.1718900486182187}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.8,): {'cooperate': 3.345252087112292, 'defect': 2.8796195666323294}, (1.0,): {'cooperate': 2.3613653159027974, 'defect': 0.8847082924169489}, (0.6,): {'cooperate': 5.529198170471469, 'defect': 11.003630988938175}, (0.4,): {'cooperate': 0.34908186177068956, 'defect': 4.2633814437218565}, (0.2,): {'cooperate': 0.041379310344827586, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,24,q_learning,316.34482758620777,"{'avg_cooperate': 1.4864920625322149, 'avg_defect': 2.6445641698190454}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (1.0,): {'cooperate': 1.6785023474903404, 'defect': 1.3689278609868187}, (0.8,): {'cooperate': 2.6586753484391616, 'defect': 5.437363222396004}, (0.6,): {'cooperate': 3.5346697665441495, 'defect': 8.905921521738348}, (0.4,): {'cooperate': 0.9447904299610179, 'defect': 0.0}, (0.2,): {'cooperate': 0.1023144827586207, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,25,q_learning,311.75862068965586,"{'avg_cooperate': 1.9574431838522077, 'avg_defect': 2.615229135237021}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.8,): {'cooperate': 1.7146237582985506, 'defect': 1.1857392372982358}, (0.4,): {'cooperate': 1.3372786594433936, 'defect': 1.0184613567367538}, (1.0,): {'cooperate': 6.427429893134425, 'defect': 10.721529669215938}, (0.2,): {'cooperate': 0.28719395321225427, 'defect': 0.15041541293417818}}"
Baseline_QL_PropDiscr,19,26,q_learning,285.9310344827598,"{'avg_cooperate': 1.2506860645052704, 'avg_defect': 2.358896123819595}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.6,): {'cooperate': 2.196933971585647, 'defect': 1.210168189368936}, (1.0,): {'cooperate': 2.2490176181327657, 'defect': 8.599773495843293}, (0.8,): {'cooperate': 2.3582803214794974, 'defect': 2.022770177728291}, (0.4,): {'cooperate': 0.6174361999716422, 'defect': 2.173727293770155}, (0.2,): {'cooperate': 0.06175862068965518, 'defect': 0.14693758620689654}}"
Baseline_QL_PropDiscr,19,27,q_learning,260.03448275862087,"{'avg_cooperate': 1.0647244125649373, 'avg_defect': 2.243149365711919}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 1.9820675179286815, 'defect': 9.739149170898262}, (0.8,): {'cooperate': 1.9462650325122615, 'defect': 1.3005521981723511}, (0.4,): {'cooperate': 1.3131474537630536, 'defect': 0.17604545948898054}, (0.2,): {'cooperate': 0.051107575862068974, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,28,q_learning,438.6206896551726,"{'avg_cooperate': 1.4712651182267085, 'avg_defect': 3.4493421735869956}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 1.908328137494317, 'defect': 1.1952150269887851}, (0.8,): {'cooperate': 4.229492227949945, 'defect': 11.94358825984687}, (0.4,): {'cooperate': 0.9785227754176896, 'defect': 6.959352043637207}, (0.6,): {'cooperate': 1.528807799783463, 'defect': 0.5978977110491113}, (0.2,): {'cooperate': 0.14106045837001038, 'defect': 0.0}}"
Baseline_QL_PropDiscr,19,29,q_learning,397.44827586206804,"{'avg_cooperate': 2.135529116993637, 'avg_defect': 4.717674163093081}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 2.875946135416136, 'defect': 9.11197551546115}, (0.6,): {'cooperate': 5.291700920650195, 'defect': 9.758721136911173}, (0.2,): {'cooperate': 0.35377975673580414, 'defect': 0.0}}"
