scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
LRA_vs_Standard_QL,8,0,lra_q,1318.4827586206864,"{'avg_cooperate': 13.472330879561813, 'avg_defect': 13.96474579124045}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 12.307292439838157, 'defect': 0.0}, (0.8,): {'cooperate': 22.41796703528159, 'defect': 24.67540312425917}, (0.6,): {'cooperate': 22.568881415107516, 'defect': 24.999018385308414}, (0.4,): {'cooperate': 9.50889281792664, 'defect': 20.149307446634673}}"
LRA_vs_Standard_QL,8,1,lra_q,1274.5517241379287,"{'avg_cooperate': 14.566667711350252, 'avg_defect': 17.581346945560878}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 8.225307401122443, 'defect': 13.974753656188977}, (0.8,): {'cooperate': 20.895299115506273, 'defect': 24.831322758110687}, (0.6,): {'cooperate': 23.984767536199765, 'defect': 25.56952756011919}, (0.4,): {'cooperate': 19.169343814267606, 'defect': 23.531130753385536}}"
LRA_vs_Standard_QL,8,2,lra_q,1257.8965517241363,"{'avg_cooperate': 12.223874590585199, 'avg_defect': 16.731620639397722}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 0.6405579310344829, 'defect': 7.270796766205464}, (0.8,): {'cooperate': 12.087216143772867, 'defect': 24.97767923921562}, (0.6,): {'cooperate': 24.045342944656728, 'defect': 25.435619020406698}, (0.4,): {'cooperate': 23.78763524380674, 'defect': 25.974008171160833}}"
LRA_vs_Standard_QL,8,3,lra_q,1312.2413793103415,"{'avg_cooperate': 13.320363629298972, 'avg_defect': 14.754038173900218}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 11.503925286002428, 'defect': 6.221876876469972}, (0.8,): {'cooperate': 18.191399326623518, 'defect': 21.168725395122756}, (0.6,): {'cooperate': 22.249353535628234, 'defect': 24.63301330648951}, (0.4,): {'cooperate': 14.098519308585512, 'defect': 21.746575291418853}}"
LRA_vs_Standard_QL,8,4,lra_q,1269.0344827586184,"{'avg_cooperate': 16.820684925247384, 'avg_defect': 18.542193376872138}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 12.998167434718237, 'defect': 14.248214447397658}, (0.8,): {'cooperate': 25.617650612443065, 'defect': 27.716274910115075}, (0.6,): {'cooperate': 24.140174657451116, 'defect': 25.415803544652587}, (0.4,): {'cooperate': 20.788811231969337, 'defect': 25.33067398219536}}"
LRA_vs_Standard_QL,8,5,lra_q,1257.482758620687,"{'avg_cooperate': 15.19808888684118, 'avg_defect': 18.143935075305727}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 9.777980037553673, 'defect': 13.843323940221103}, (0.8,): {'cooperate': 20.09724266754107, 'defect': 25.39262609272989}, (0.6,): {'cooperate': 23.842242325447014, 'defect': 25.44773195154668}, (0.4,): {'cooperate': 21.714358714008966, 'defect': 26.03599339203097}}"
LRA_vs_Standard_QL,8,6,lra_q,1224.689655172411,"{'avg_cooperate': 17.020667716137933, 'avg_defect': 16.28671770135154}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 10.827486143647123, 'defect': 2.044356786896552}, (0.8,): {'cooperate': 25.909168522501883, 'defect': 27.665962282502523}, (0.6,): {'cooperate': 23.98027293902571, 'defect': 25.441661354787158}, (0.4,): {'cooperate': 23.827790285859773, 'defect': 26.281608082571484}}"
LRA_vs_Standard_QL,8,7,lra_q,1261.8275862068936,"{'avg_cooperate': 15.36296575346924, 'avg_defect': 17.226390697771727}","{'initial': {'cooperate': 0.0, 'defect': 0.2431034482758621}, (1.0,): {'cooperate': 10.615368718275612, 'defect': 9.905897378887484}, (0.8,): {'cooperate': 19.65839484167786, 'defect': 25.307674333824995}, (0.6,): {'cooperate': 24.19061271598632, 'defect': 25.605213705193414}, (0.4,): {'cooperate': 22.350452491406408, 'defect': 25.070064622676874}}"
LRA_vs_Standard_QL,8,8,lra_q,1282.6551724137896,"{'avg_cooperate': 9.61248258035089, 'avg_defect': 13.772569668664909}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 2.1803074854492834, 'defect': 2.95616826675377}, (0.8,): {'cooperate': 1.35470586124706, 'defect': 15.833166574564686}, (0.6,): {'cooperate': 23.935224280596387, 'defect': 25.287100386403672}, (0.4,): {'cooperate': 20.033554584806552, 'defect': 24.786413115602407}}"
LRA_vs_Standard_QL,8,9,lra_q,1222.137931034481,"{'avg_cooperate': 14.559152225182293, 'avg_defect': 12.784227340042245}","{'initial': {'cooperate': 0.5586206896551724, 'defect': 0.0}, (1.0,): {'cooperate': 11.852103774321424, 'defect': 0.0}, (0.8,): {'cooperate': 14.149273501545855, 'defect': 12.75487900238298}, (0.6,): {'cooperate': 24.004122568226006, 'defect': 25.334913945335607}, (0.4,): {'cooperate': 22.231640592163025, 'defect': 25.831343752492636}}"
LRA_vs_Standard_QL,8,10,lra_q,1283.4137931034456,"{'avg_cooperate': 15.621008933471604, 'avg_defect': 15.412006852966005}","{'initial': {'cooperate': 0.0, 'defect': 0.2431034482758621}, (1.0,): {'cooperate': 10.298798195499575, 'defect': 0.44366896551724133}, (0.8,): {'cooperate': 22.813441495311377, 'defect': 25.790335166794733}, (0.6,): {'cooperate': 23.943347176945316, 'defect': 25.38042421789117}, (0.4,): {'cooperate': 21.049457799601747, 'defect': 25.20250246635102}}"
